title,body,rating,review_id,sentiment_label,sentiment_score,positive_score,neutral_score,negative_score,compound_score,topic_id,review_length,is_negative,is_positive
I Wanted To Like It....but...,"Here's the thing. I wanted to like the Fire Stick. I really did. I was drawn in, like everyone else, by the low price. Can't be beat. However, there are certain drawbacks.The first is that the Apps seem to be dropping off Fire TV like flies. Here are two streaming apps I enjoy: VUDU and Youtube. Sometime in the last two years Amazon stopped supporting VUDU and the app was discontinued. Last year Amazon decided not to sell Google products, so as of Jan 1 2018 there is no longer a Youtube app on Amazon Fire TV. My concern is: What app is next to go? I don't want to live with that uncertainty.Second, speed. The stick itself is very fast. However, the 1.3GhZ Quad core processor, which doesn't have enough RAM, can only handle one app at a time. So in order to switch between apps it must close the current app and reload the desired app. The low amount of RAM causes glitchy/delayed operation. For example, when it loads a screensaver there is a momentary grey screen. Sometimes system sound effects do not function consistently. Also, this causes apps and menus to run glitchy and lag from screen to screen.Third, Alexa. She just isn't very smart. I believe she is designed that way. She really only functions well with Amazon content. But it's actually easier just to use the buttons on the remote than tell Alexa to do it, takes less time. And when you tell her to do things, such as ""skip 30 seconds"" or play a specific episode, she won't always do it. Sometimes using these features will even cause the system to glitch/crash. She is very tempermental. Alexa does nothing within any of the other apps besides Amazon Prime. She can simply launch other apps, but she only does it 50% of the time. The other 50% she doesn't understand you. And you have to say the exact app name or she won't open it. For example, to open the CBS app you have to say ""Launch CBS Full Episodes and Movies"" in those exact words or Alexa will not be able to understand what you want. Suffice it to say, Alexa's voice recognition software needs a lot of work. Also, I really don't care if my Fire Stick can order a Pizza or show me movie times. There are much easier and more efficient ways to do that.Fourth, the controls in streaming apps. They are all different from app to app. One will let you seek for rewinding and fast forwarding. The other will have you scroll through a clumsy thumbnail timeline. Netflix for example. You are supposed to be able to skip forward and back ten seconds by clicking the left or right buttons. It even shows a 10 with an arrow pictograph on screen but it doesn't do it. It just shows the thumbnail timeline screen. Other apps are similar. The only app that runs, to any degree, the way it's designed is the Prime App.Fifth, LAN. The Firestick does not come with a LAN port itself. If you want a wired connection you must buy a separate LAN adapter from Amazon. They do not keep them in stock in any great quantity. So they are often out of stock. So if you need one in order to get a connection, you may be without streaming for quite some time. As long as a month. Also, the adapter is only capable of 100Mbps speed. So if you have a decent internet service, mine is Gigabit (1000mbps) you are essentially throttling your connection speed on the Fire Stick by using the LAN adapter. You might as well go with shaky WiFi if it's faster. With 100mbps you'll probably experience Picture Quality drops anyway.Sixth, the Alexa remote constantly freezes. You have to unplug and replug the stick to reset the remotes connection. That is just unacceptable.One last note, this is the third Fire Stick I've purchased since December 2017. The first two were from Target and both went back. The first one stopped working after about a month. The second stick never worked. The third stick I bought directly from Amazon, at their suggestion. It was touch and go the entire time. I ultimately decided to return that one too. A warning: if you have a power outage or if the signal isn't perfect 100% of the time (impossible), your Fire Stick will have panic attack. The remote will become temporarily slower and less responsive (menus and buttons respond slower) and will eventually resolve itself. The WiFi connection will get slower and weaker. Nothing resolves this (resetting your router, restarting the Stick), you just have to wait it out. And if you had it connected to 5G WiFi, forget it. The Fire Stick seems to be allergic to staying connected to that, especially if there is a power interruption. My guess is a weak/underpowered WiFi antenna in the Stick. Also, everything I've read says that placing a Wifi device behind a tv, which is what you have to do to connect the Stick, will muffle the Wifi signal, combined with the weak Wifi antenna makes it have an unreliable signal most of the time. It will lose the connection, or it will drop to a very weak connection at random. I have an excellent WiFi connection. None of my other devices have this problem. A power loss can also cause the remote to stop working. So get ready to have to talk to tech support over something that should be a simple fix but isn't. And then possibly have to exchange your Stick for a replacement, that is if the short 30-day return policy hasn't expired. So you better hope you don't have any issues with it after one month. Most companies guarantee their devices for 90 days and have a One-Year Warranty.Like I said, I really wanted to like this product. Just too many drawbacks. I ended up shelling out the extra money and getting the latest generation of Apple TV. It is well worth the extra cash. The picture quality is much better. The general quality of the apps is better. The Wifi is much stronger. The remote is nowhere near as primitive as Amazons, in both design and functionality. The device itself functions much quicker and much more smoothly. Siri CAN do voice search and voice commands in every app. She also understands a lot more, and you can be far less precise and she knows what you want. Also the streaming apps all have the same uniform interface/controls and function the same. You can switch seamlessly between apps you've been using without it having to reboot them. Cuts down on time. No, The ATV can't order pizza for you or check showtimes at the movies...oh well...",1,0,positive,0.4852909445762634,0.4852909445762634,0.3425074517726898,0.17220160365104675,0.3131,5,6299,0,1
Amazon customer service agents not following thru with promises,"This rating goes for Amazon Customer Service – 1-star. The Fire-Stick with Alexa would get at least 4-stars if not for the 6 Amazon customer service agents I had to deal with for over couple hours on customer help-chat-line.The problem began when I decided to try Amazon Music and cancel the other music service I have been using. I already ordered the Fire-Stick which came with 90 days free Amazon Music Unlimited which was a bonus.No problem installing Fire-Stick on my TV except Amazon Music program would not load. So, I had a chat with a customer service agent whom told me that it would not work on Sony. This TV is 2017 model so technology is up to per. Such a disappointment it was to be told that they are not comparable.Next step was downloading the music app on iPhone which was easy enough. But then music app used up over 2.5GB on cell with music download which caused problem due to using too much memory. I had to use my laptop to download all the music instead of cell to resolve the problem.Couple days into this music thing, the Music app all of sudden appeared on my TV screen. Excited when it began playing My Playlist talking into Alexa. The next day, switched my car radio to iPhone music app and it began playing nicely.The old music service I had would loose signal while driving under tall trees that are plenty in this region. Now music keeps playing unless navigator talks. I like that.Then annoying thing started to happen – every time I switch devices, from iPhone to TV or vice visa, or laptop searching for new songs, Amazon Music prompts me saying that “Another device is in use. You have been subscribed to Individual plan. If you want to stream music on more than one device at one time you need to subscribe for Family music plan.” appears on screen even though only one device is in use.It got so annoying that I got on customer service online-chat again to complain that their system thinks I got more than one device going but I do not or have not had more than one device playing at same time and better not find extra charges on my account.Wished now that I DID NOT get on that chat-line. Wasted couple hours for one, two, I was transferred to 4 different agents, and, one of the agents did something during this time and disabled Alexa voice command.I know this happened because I had to log back in to reactivate Alexa/Fire-Stick on my TV while on chat. Once logged back in Alexa program, only buttons worked, not voice commend. Is this device broken? I doubt it. Whatever one of the agents did, somehow disabled voice part. Why? How?This is what should have happened due to this new problem:Rahul Kumar: Okay.I will go ahead and create the Free replacement for the alexa voice remote and send the Information on your email address for youIs there anything else I can assist you with today?Do you think I got new replacement device? No. Instead I got credit for my old unit without replacement. I AM STILL WAITING for new unit. I didn’t want credit, I want what Amazon agent did to my unit replaced as promised, not paying increased $15 extra dollars for the same unit.The 1st agent Archak, 2nd agent Vincenzio, 3rd agent Vijay, 4th agent Selva, on this chat, another agent about Sony TV not comparable, and yet another agent I talked with whom promised me that I will not be charged for Unlimited saying that my account indicating 90days free trial activated so not to worry about extra charge also proven wrong since I was charged already.Do you know Amazon Chat cannot be saved like other companies chat-line do when you end the chat? Well, I saved our chat so I know what was discussed and what was promised.Still waiting the $10 I was promised for my trouble. Still wanting for new replacement unit, Still waiting for charge placed on my account dropped, an error during 90days free trial which should last until mid-March.The last agent on chat stated that my Alexa device is no longer on my account. That was before credit appeared on my account a day later. So, if I play music, are they going to charge me adding more errors on their action? It is a huge mess that they created only because I wanted them to be aware that their system is not working correctly and their customer, me, is annoyed with repeat warning, upon false indication their system telling me that I am on more than one device when I am not. Also a chance that extra charges may appear due to their incorrect detection system, a charge for Family Plan.Ship me replacement unit ASAP as promised!___________________________________________________________Update: Jan 28, 2019Still no sign of replacement unit nor any type of communication from Amazon Customer Service.Should I post the chat-room conversation again? A REPLACEMENT UNIT WAS PROMISED which I have not received yet. I DID NOT ask for refund nor agreed to.So you have a very upset Amazon Prime customer! Dare you charge me back the refund for the unit that was some how DISABLED/DAMAGED by YOUR AGENT.You will not get rid of me until you honor what you promised.__________________________________________________________",1,1,neutral,0.5430134534835815,0.3552590310573578,0.5430134534835815,0.10172748565673828,0.2535,2,5101,0,0
"If you don't mind giving up privacy, go for it! Silk Browser killed Fire TV for me","Be prepared to give up privacy. I'm so sad to give this previously 5-star item a 1-star review, but SILK browser is a major privacy and security hole. I tried on 4 different occasions to work with Amazon customer service (various transfers and departments) to no avail. So here's my 1-star justification, with plenty of detail so you have enough information to make an informed decision.I own 4 Fire sticks, my first acquired in 2015 and they are used A LOT. There have been many changes in programming, what's accessible and what is not, but we have been happy with their functionality overall. THEN, Amazon made the Silk browser available for installation. I installed it and played with it a little. Using Silk, went to Amazon.com and discovered that, BY DEFAULT, I am logged in to my account! I delved further and, yes, I could see every purchase i ever made, going back to 1999. I could buy anything I want from this browser window. In other words, anyone who has access to your Fire TV stick can access every bit of your personal Amazon information. Anyone can unplug the stick from one of my 4 TVs and walk out of the house with it. And plug it in where they want, and access my information.I logged myself OUT of Silk. I exited the App, went back into it and, yes, I was still logged out. Whew!I went to another Fire TV stick in my house and repeated the actions. Installed, by default each was logged into my account. I logged out of each. So far so good. Until the App needs to update. Then, after said update, I was involuntarily logged in again BY DEFAULT to my personal Amazon account on each Silk browser. Arrgghh!!I contemplated this for a couple days and decided that it was completely unacceptable to me and decided to contact Amazon Fire Customer Service. Here is the final advice I was given the first time I advised Amazon of this (and I had contact w more than one person): &#34;I would like to bring this to your kind notice that, at present we do not have an option to hide/restrict the purchases made on any account. I'm sorry for the disappointment caused in this regard. I would request you to understand my limitations regarding this issue. However, as an alternative, I request you to please create a new account for your family members/self, only for the restricted content, so that, others will not be able to view your purchased content. You can access your purchased content this way and once done, sign out of the account from Fire Stick. Once you logout from the account on any device, no one will have access to your account.&#34;So, a completely unacceptable and inconvenient solution, created by a design flaw. IF I create a new, independent account, how do I use the paid Apps currently associated w my main account? How many hours do i get to spend installing all the free apps associated w the account which was just logged out? How do I access the purchased media on the other account? Hmmm.... no solution for that!After a week, I made another attempt. Again, contact with more than one person. This time I was told to set up the 5-digit parent control password protection to limit access/usage to Silk. Can I block access to opening Silk? Yes, but not without blocking access to opening every other App. I can create password requirements to install and open Apps (and was advised to do that by one customer service rep), but once that is done it is needed to install and use ANY App, thus rendering the Fire TV stick useless for anyone else in the house. When I told them that, the rep said: &#34;I apologize for any inconvenience this may have caused. I've forwarded this issue to my internal team with high priority.&#34; And I am sure she did. But I haven't heard from anyone.I have been an Amazon customer since 1999, that's 19 years of buying. I've had Prime since there's been Prime. I'm not changing my Prime settings because of this (I have my shared settings the way I like them, and it will change our usage of my account). Amazon needs to fix this. There is ZERO reason that Silk needs to be logged into anyone's personal Amazon account on default. There is ZERO reason that I should concern myself with privacy issues that didn't exist a few months ago.Everyone has different circumstances- if you live by yourself or share your single Amazon account with a group of people, this may not bother you. But if you have Fire sticks installed on TVs in rooms where house guests stay, if you have kids or kids' friends that are over, if you have made any purchase in 20 years you don't necessarily want just anyone to see, then this may be a problem for you. For myself, I can say this- it needs to be fixed or all of these sticks are coming off my Tvs. And I'm not happy about that either.",1,2,negative,0.7536820769309998,0.023813968524336815,0.22250398993492126,0.7536820769309998,-0.7299,2,4740,1,0
"Time consuming, stressful, and disappointing","This is an update to my original review below. Still haven’t been able to link Fire Stick to Alexa, once I installed the Fire Stick, Alexa who had been accessing my Prime Music Library, stopped? After four wasted calls today, including a very nice but useless guy in Costa Rica; who admitted after reviewing his instructions, that there is no Fire Stick App under Alexa Settings Apps?? Additionally the 3rd Amazon Rep, Stateside, was rude, demeaning, condescending, completely childish and unprofessional, thus the transfer to a Supervisor. More than 2 hrs to get the Alexa running, numerous attempts to get help from Amazon including 45 min/four reps today, and still no connection between the two devices. Oh, according The the condescending Amazon Rep #3 today, “They ARE different devices, they aren’t supposed to link up”, well, so much for all their advertising, and the Alexa menu on my Furestick screen. All these adds showing Alexa as all able and Firestick connecting you to all your Prime viewing... 6 months later all Alexa does is tell me weather and run a kitchen timer. I purchased 20 Seasons of a series, do u think I can access them in my Fire Stick, not Seasons 1-6, but 7-10 I can, I guess that’s Amazon products and Service in 2017. Oh and I get admonished for writing a “mean” review that they wouldn’t print. Will someone tell me when the truth about BAD BAD Service became mean??Original Review: purchased the Fire TV Stick with ALEXA voice remote from Amazon. It arrived in good condition promptly with all items present. Additionally, I ordered Gen 1 Echo, NEW, from an Amazon partner. It too arrived with everything present, in good condition and in a moderate time period. To get the best use out of the Firestick, the Echo should be fully &#34;adjusted&#34; using the menu on the app. The app cannot be downloaded on your laptop? If you have been on the phone with Amazon a great deal, you will be unable to use the app until your phone recharges.. The Firestick is used on a separate TV input accessed either thru voice command, or remote.The Echo would not configure following the instructions. I contacted Amazon and was helped by Brian who was terrific, and the only person who appeared aware and genuinely apologetic for the time that was involved. The process to get to the point where I could download the Amazon Alexa App, not set it up it is still not set up, was incredibly long. There was a system code that was missing that was not allowing the unit to appear as belonging to me, or assigned to me. That had to be corrected. Then the two speeds on our modem(4.2 MHz and 5MHz) had to be separated this required calls to the Internet provider, then to the Modem Provider as we own our own modem. In then end I was on the phone with Brian from 8:30 am till11:30 pm on October 1, 2017. After all that Alexa's menu settings remain undone. My Echo purchase from the third party came with three additional items, to attempt to resolve Brian transferred me within Amazon. Long story short I was kept on the phone another three hours on Monday, and then one of the same Amazon Reps called again Tuesday. On Tuesday nothing was accomplished except that another several hours were wasted. The Amazon Rep who initiated the final three way call with me actually disengaged her own call without any word to me. I found this to be surprising conduct. At present I am unable to access that second input using my remote, which I was able prior to these Amazon devices, and neither Amazon device works as advertised, and the last &#34;perk&#34; remains in limbo. When I wrote a more passionate review it was disqualified. This time I simply stated the facts. A purchase of technology greatly hyped by Amazon; made by me to make my life easier as my health deteriorates due to Systemic Lupus has in fact taken a great deal of my time and been stressful and disappointing. To mention that the Amazon rep who made me join her on the multitude of phone calls for two days, disconnected without a word is not mean or insulting (except that it was insulting to me) it is a statement of exactly what occurred and the level of service I received. I fully expect this review to be posted in it's accurate form.",1,3,negative,0.7649387717247009,0.014241847209632397,0.22081942856311798,0.7649387717247009,-0.7507,2,4223,1,0
Fire TV Stick with Alexa leaves much to be desired!,"My Roku device was getting extremely hot on the living room TV and the sound was terrible, so I moved it to the bedroom (where it is no longer hot and the sound is fabulous - so it must be the TV). However, in moving it, I now wanted a device on the living room TV, and since this was a Prime Day special, I purchased the Amazon Fire stick with Alexa. I had read the reviews and talked with a few people, and thought I was making a great choice. Personally, I will stick to the ROKU - far and away a better device! And Alexa is an idiot. I'll keep this because I want a device on the TV in that room and the price was excellent, and it is OK. I've watched the &#34;how to&#34; a few times to see if I can get rid of any of my cons. Nope. Still was not helpful.PROS - if you are a fan of FIRE and Alexa, you will like this. It came in a fancy-schmancy box with an extender, etc. (BTW _ the extender thing is FABULOUS!), It is easy to stick in. It plays a &#34;how to&#34; thing (that I found to be lacking, but ok). It looks nice. The back and the batteries are not going to be easily lost or loosed.CONS - it took me 15 minutes (literally) to prize the back open using a knifeblade to put the batteries in! I have since tried it three other times, hoping to &#34;loosen&#34; the back or figure out how to open it easily, and it still takes 15 minutes! You get to enjoy (sic) commercials that will NOT go away! The Home is awful - you can't find anything. You have no idea you are going to pay for something until you hit play and then surprise! The menu is worse than awful. The options are not options; they are settings and the settings are very limited. Alexa will not go to the show that I previously watched nor can she find the free version in Prime Video of anything that I want to watch, only the pay for it one; the menu doesn't allow you to search and type in a name, or go back to the show you were watching, either! In fact, I have yet to find a spot that allows you to type in something and actually search. Holding the microphone button while you speak (and hope Alexa will get it), takes as much or more time than typing in the show or picking the show on the ROKU device. My fumble fingers consistently hit the home button (which is NOT in a good location on the stick) instead of the pause or back or forward button when trying to control what I'm watching which sends it back to &#34;home&#34; where you can't find anything and Alexa does not understand &#34;go back to the show I was watching!&#34; I will stick with ROKU. Much better layout, a far and away better HOME and menu - more &#34;intuitive&#34;. Unless you are an expert with Alexa, I wouldn't use this stick. It does what it was made to do; however, it is not something I would recommend and is not as easy to use as the Roku.***UPDATE AS OF 8/13/18 - dropped one more star. Purchased on Prime Day July 17th. Began using it on July 20th (?). Used it maybe once or twice that week. But let's just say, I used it ONCE per day, every day beginning July 20th (maybe). The included &#34;new&#34; batteries died - yes - died (used a tester on it as well) August 6th, and I had to put new batteries in it. Seriously - the batteries lasted less than 2 weeks?!! I had told the Amazon customer service guy who called me (and was very nice and needed to know more about the technical issues) that when the batteries failed, I might throw it away simply because it didn't work like it should and getting the back off was far too frustrating and difficult. Well - after some colorful metaphors, I found a way to get the back off in less than 15 minutes and I put new batteries in it. It seems to be working a bit better; however, if these brand name batteries fail in 2 wks, I will know there is some major issue with the stick. It still cannot search for items, Alexa still doesn't get it right - however, the last video I watched is (for the most part) now showing in the line up at the correct spot, and the closed caption option is great.",1,4,neutral,0.3825216293334961,0.2877863049507141,0.3825216293334961,0.3296920657157898,-0.0419,5,4010,0,0
Amazon Pin Scam --- if you have children read so you dont get screwed,"I loved the Fire Sticks for the six months I had them. However they should come with a big warning if you have children. Although my master account, my phone's, and my apps on my PS3, PS4, Smart TV, Blu-ray players, or any other device require a pin in order to order a video the fire-stick does not. In fact Amazon supposedly cannot figure out how to transfer that feature. They can however transfer all your personal information and make that feature work on everything except the fire stick. So here I am for 6 months thinking there's no harm in letting my children control what they're watching. Fortunately for me it was not too bad but I saw a weird purchase yesterday and looked into it further.Amazon does not keep the video purchases in the same spot as all the others so you have to do some research to realize your accidentally ordering things. I found out I was ordering HBO for 6 months. My young children had apparently watch something on HBO and that authorized me to be charged 14.99 for 6 months.First I complain on chat and they basically told me this is all my fault because I should have set my pin when I got the fire sticks. That yes it transfers to all devices but not to a fire stick. They were willing to reimburse me the month I didn't use of July so far and the movie I accidentally ordered using Alexa. I told him it wasn't good enough and they basically said well if you don't have any more questions then have a nice day.So I sent an email. Explain the situation. Complain about the fact that I'm being treated like this is my fault when they have the ability to transfer all my personal information and passwords but apparently can't transfer a pin. Seems convenient for them doesn't it. Anyway, in the end a bunch of emails end up with the same thing that it's been happening so far. Then they have the nerve to ask me how they did in a survey. When I rate them terrible they ask if they can call me to discuss. So I say yes. I explained it to the first person who tells me don't worry we'll get this refunded to you. Sounds great I'm about to get my six months of fraudulent charges by Amazon back. Nope. Transferred again then again and finally given only two months because they can't do more than that for me. It's not like the $50 will break the bank but it's a dirty trade practice that anyone would children should be aware of. Even if you have locked all your apps and accounts and haven't had to do it individually you must lock each fire stick individually. All of your settings except this will transfer. Seems convenient for Amazon huh. Just seems like a shady method of making more money. Well they lost here.I was about to buy an echo. Cancelled that. I was about to buy an echo for my brother for his birthday. Cancelled that. It would be very irresponsible for me to send a gift to my brother who has three young children that apparently they can just order anything they want with Amazon related products because they have no filter. Apparently they can only transfer your PIN requirements apps or phones. So I had to cancel out of the worry that my children can talk to Alexa and order something. Especially since Amazon device as have no protection that sets itself up like it does on all their other apps. I Was about to renew audible but don't want to get nailed there too now that they took my money for no reason. And this is left a very bad taste in my mouth. I've had Amazon a long time and use it a lot more than most people I know. Buyer beware. If you do buy this make sure to set your settings right away if you have children.",1,5,positive,0.7043552398681641,0.7043552398681641,0.2325415015220642,0.06310328841209412,0.6413,2,3587,0,1
"JUNK two of my three sticks have went bad , one more on the way out","This is JUNK. I have a brand new $900 yamaha RXA870BL receiver and I thought it was bad but it's been two of these junk sticks crashing it all along. 2 of three of my sticks are now bad, won't even start and the other one is going bad.Wait there is more: I jsut ought a USED gen 1 Fire TV box on Ebay and it is working fine. there is no white specs in the pictures, it looks a lot better, it has a quad core 1.7 Ghz processor and it baffles me how Amazon is claiming less is more. The sticks are down to like 1.3 ghz quad cores but they're supposed to be faster? And NONE of them are 64 bit .They are 32 bit, which I have to say IS SO 1990s it's (Amazon) freaking pathetic.I actually ordered another stereo because it was cutting off while I was trying to watch TV from the antenna or the Fire Sticks. it has not cut off all morning now with my gen2 sticks removed from the system! the bluetooth for other devices nor the mirroring EVER worked on either stick, the remotes become discombobulated and won't repair without resetting them and There is no useful information on the amazon site to address ANy of the plethora of issues this junk causes in an entertainment system, Oh they start of fine, but keep running them awhile and you'll see what i mean. I can't believe Amazon sells this junk and put's it's name brand at stake.Two, about a year old started not working on their own power supplies. First they stopped working on other brand power supplies, Then finally had to connect both to their respective TV USB ports for power to get them to work. I had tried every Amazon power supply in my house with them, every cable and none would power them adequately until I connected them to the TVs. Now one stopped working at all connected to even the tv USB. The third I bought in the middle of last year and set up for a friend and put it back in the box for her to take to Egypt with her. I gave it to her last xmas and this week it quit, same issue, not even a start up screen no matter what she does or where she plugs it inObviously amazon is selling junk. supposedly they are supposed to replace them even thought hey are out of the paltry replacement window of like 60 days. I suspect that is so they don't have to face lawsuits and make amends for selling millions of pieces of junk or a mass recall of this garbage product, that didn't even work correctly out of the packages (read below)original review: Everything works as advertised EXCEPT the screen Mirroring and the Bluetooth tethering of anything but it's own remote. Blue tooth and the supposed mirror casting of phone screens do not work at all, even with other AMAZON devices. I tried doing both with my android phones and they won't connect, and even if they did, all i could do is mirror my phone contents because direct WiFi takes over the connection so I cannot browse the internet with my phone. So it's hardly worth the trouble to me even if it did work.And this stick simply WILL NOT Bluetooth tether to ANY of my devices including my NEW FIRE TABLET and my two MotorolaAndroid phones. & i know the issue is with the Fire sticks because all of these devices will tether to each other!Well I was made a liar, SORT OF. I have been able to mirror my [phone screen easily to the tv through the Fire Stick BY USING THE feature from within YOU TUBE! , which to me is a DISGRACE and AMAZON should be ashamed!I mean it's been making this thing for how long and it still refuses to network with other devices including OTHER AMAZON devices!!!??? WTFudge?",1,6,negative,0.7804900407791138,0.04551302269101143,0.1739969402551651,0.7804900407791138,-0.735,7,3524,1,0
Great for six weeks...now I'm throwing them out,"We received a couple of these as a Christmas gift, but didn't start using them until we moved in April. At first we loved them. Our cable bill was cut in half and we were able to access all of our favorite channels with Hulu live TV, plus all of the Prime content, and a few other apps. Then, after about six weeks, things stopped working. We had the most trouble accessing Hulu, so we contacted their support team and they told us Amazon had done an update to their software and now several Hulu customers were having trouble connecting. They said they were working on a patch and credited us for a month while they it got worked out. We looked online and learned that this was a common problem. We decided to stick it out because we had been SO happy with it up to that point, and I come from the tech industry, so I know these things sometimes do happen with updates, but I felt that a bug fix would get it taken care of pretty quickly.By the time we got to the end of our one month credit, we were able to access Hulu, but not without trying 2-3 times each time we tried to launch the app, and when it finally did open it would only partially load (we could see the text of the menu, but not images). We also often experienced a connection failure while we were watching something.Since we were having trouble with Hulu, we began trying the other apps more, and we noticed that our other apps were having just as much trouble. We even had trouble accessing Prime content.When watching Prime content, we would sometimes get an error stating that our internet speed did not support streaming, even though we have the fastest speed available, and we live in the L.A. area, so it's not like we're using countryside infrastructure. That made us think we were being throttled but our ISP, but speed tests never showed this and their customer service assured me that there was no throttling with the service package we had purchased (if you can trust ISPs).We kept troubleshooting and the kicker came when we had successfully logged into Hulu on the Fire Stick one morning (after two attempts), and we were trying to watch a show. While the status bar was going across on the TV, waiting for the show to start, my husband was able to search for and download the Hulu app on his phone, log into our account, set his mobile app preferences, then launch the show and start watching it, all before the Fire Stick even started playing the program. Both devices were using the same internet at the same time. The Fire Stick action had been started first and we did not even pick up the phone until after the Fire Stick had already been showing us the status bar for a couple of minutes.The next day we bought a Roku stick for one TV, and we cannot believe how much easier life has gotten on that TV. We turn it on and it works. The menus automatically load, right away, WITH all of the images. We hit the Hulu button and the app launches within seconds. We have zero delay in anything. And the Roku remote also turns the TV on and off, plus controls the volume, so we don't have to fumble with two remotes. The Fire Stick issues have still not been resolved, so we just ordered another Roku stick for the bedroom today.I love Amazon and I was excited to get my Fire Sticks, but after only three months of using them, I guess I am going to throw them in a box. I can't even give them to anyone knowing all of the problems they have. I feel guilty having asked my mother-in-law to buy us these for Christmas. She wasted her money.",1,7,positive,0.8208658695220947,0.8208658695220947,0.16297169029712677,0.01616246998310089,0.8047,7,3519,0,1
High hopes dashed,"I've been using an old Roku for many years and wanted to upgrade to a new device to get better performance and better features. After reading about the Amazon Fire TV Stick, especially the voice integration with Alexa, I was excited about it and was looking forward to using it.Unfortunately to my unpleasant surprise I discovered three issues shortly after setting up Amazon Fire that have caused me to decide to return it and get a newer Roku instead:1. Google Play app/channel is not in the Amazon Fire TV store. We have purchased many movies on Google Play, which I can easily watch on our old Roku since it has a Google Play app/channel but Amazon Fire TV does not have it. I searched online and there is some convoluted way to hack the Amazon Fire TV to get Google Play on it. I realize that it's Google that's to blame for not making an app/channel on for the Amazon Fire because they don't want to support their competition and would rather people get Google Chromecast instead. But as a consumer convenience is king, and I prefer to just plug and play, which I can do with Google Play on Roku, instead of having to hack together a solution. If this were the only issue I had with the Amazon Fire TV Stick then I would just do the hack and live with it instead of going through the hassle of returning it.The other two issues are particular to the MLB.tv app/channel, which is the one I watch and care about the most:2. Audio overlay - With Roku you can watch each MLB game's TV feed but choose to overlay the radio feed or sounds from within the ballpark in place of listening to the TV announcers. Whenever I watch my favorite team (Cleveland Indians) play I listen to the radio feed since their radio announcer, Tom Hamilton, is the best broadcaster in baseball on TV or radio IMHO. With Amazon Fire I can only listen to the radio feed without watching the game or watch the game and listen only to the TV announcers. This is a deal breaker for me.3. Inning chapters - With Roku when you watch a MLB game that is in progress or over you have the ability to select the top or bottom of any inning that has been played and start watching the game at that point. This feature is very useful, and I use it all the time. For instance, if I see from the box score that my team has scored in the top of the 3rd and 5th innings then I can go directly to each of those half innings and watch them to see how they scored their runs. Or when I want to re-live the catch of the year by Austin Jackson then I can go to Cleveland's game against the Boston on 8/1/17 and click on the Bottom of the 5th Inning. With the Amazon Fire you have to fast forward or rewind to the particular inning, which it does shows on the bar when each half inning approximately begins, but it takes longer to get there and also is more difficult to start precisely when the half inning begins without including any of the commercial break time. The inning chapters in Roku is just so much easier to navigate.I'm sure there are other issues I would find if I continued to use the Amazon Fire TV Stick but after running into these three right off the bat I decided not to waste any more time on it. Since the newer Roku devices do not have any of these three issues I will be returning the Amazon Fire and getting a newer Roku instead.",1,8,positive,0.8863462805747986,0.8863462805747986,0.10251515358686447,0.01113860309123993,0.8752,5,3310,0,1
If I could leave 0 stars I would,"Works good when it works.... but mine had constant problems and finally died just after the warranty period. No kind of compensation was offered. Customer service stinks - they tell you they will call and will only call you if you harrass them.Here's a transcript of the chat:Me: Previous issue has not been resolved case ID: 0168769113You are now connected to Shruthi Sai from Amazon.comShruthi Sai: Hello, my name is Shruthi Sai. I'm here to help you today.I'm sorry to know about that. Allow me 2 minutes while i check with this for you.Working on this for you.Thank you for staying connectedI'm sorry to know about the issue. May I know have you tried de registering the device please?Me: i cannot get past the initial amazon logo. I presume the device is not bootingNo i did not deregisterShruthi Sai: Okay. As a part of troubleshooting would that be fine if i go ahead and de register the device and register it back for you?I don't mean to rush. I hope we are still connected?Me: yes still connected. I have deregistered. How do i re-register?Shruthi Sai: I have gone ahead and registered it back for you and now i request you to unplug the device and plug back after 30 seconds and try accessing the device and do let me know if you still face the issues.Me: ok unpluggedThe amazon logo comes up .....and that's it, no change after 30+ secondsShruthi Sai: Okay. Checking with this for you.Allow me 2 minutes.Thank you for staying connected,I have checked with the details of the ticket and the device and can see that as the warrenty has been expired, In this case we cannot go ahead and replace this for you but can go ahead and add the promo value for the order. Would that be fine for you?Me: When did the warranty expire?Shruthi Sai: The Warrenty has been expired on Expired on : Sat 05 Aug, 2017I don't mean to rush. I hope we are still connected?Me: I have gone through my emails and found a previous issue with this device - Mon, Jun 11, 2018 07:46 PM I recieved email regarding this deviceShruthi Sai: In this case would that be fine if i go ahead and arrange a cal back from our end for you for better understading?Me: okShruthi Sai: Thank you. Can I have your mobile number please?Me: yesShruthi Sai: Can I get the number please so hat i can go ahead and connect you now.Me: 9089173120Shruthi Sai: Thanks for the details and your call is now connected and our agent will help you further.I don't mean to rush. I hope we are still connected?Is there anything else I can help you with?Me: on phoneShruthi Sai: Is there anything else I can help you with Max?I don't mean to rush you, but we've been idle for 1 minute. I want to make sure our chat's still connected. If you aren't able to respond in 1 minute, this chat will close.Since we've been idle for 3 minutes, I'll need to disconnect this chat. We hope to see you again soon! Thank you for contacting Amazon. Have a nice day!Shruthi Sai from Amazon.com has left the conversation.",1,9,negative,0.7920944094657898,0.024936409667134285,0.1829691082239151,0.7920944094657898,-0.7672,2,2951,1,0
