title,body,rating,review_id,sentiment_label,sentiment_score,positive_score,neutral_score,negative_score,compound_score,topic_id,review_length,is_negative,is_positive
No Star Quality,"Avoid buying this product! Just fight the urge and temptation. I am not happy with this device at all. The short version is this device does not actually work. The not short but not long version is I had one, that one didn’t work, they sent another one, don’t know if that one works or not because it came with no accessories or power cords, and the third one started messing up within the first week. I’m limited to what I can do about it because it was a Christmas gift but I really feel bad that the person was thoughtful enough to get this for me but I am not enjoying it at all.The full story is, when I open the first one, it’s seem to be fine but after a day or two, the device would not turn on. I saw online that if you unplug the cord from the device and wait about 30 seconds or so it will start to work again once plugged back in. Mind you most HDMI ports are on the back of the television so not something you want to do often. So, it worked for a couple of days (not using it everyday however) but again, I went to turn it on and....nothing. So, I have to go behind the tv again and do the whole unplug/plug in thing again. Probably did this about two more times within the next couple of weeks. At this point, it still hasn’t been a month. One morning I was using it before work but then it froze and stopped working. I went to work and when I came home the device was off. I then turned it back on and it seem to be working fine. I watched a couple of videos and at some point I paused it to go do something in another room. When I came back it was turned off. I turned it on and it seem to still be fine but when I went to play something, the screen was green and I could only hear the audio. This happened on prime and Netflix. At this point I called and reported it in which the operator said just unplug it and then plug it back in even though I told her I been doing that. She strongly insisted i do that and was trying to avoid sending me a replacement. So, again I do the unplugging thing again and of course it works but I explain to the operator that I do not want to have to go behind my tv and unplug stuff every time I want to watch something. I shouldn’t have to. That’s when I was told to send the device to be inspected. If something was wrong, I would be sent a new one, and if it was something fixable, they will fix it and send it back to me. Not even three days after I mailed it it out, I get a message saying I should expect a new one in about three days. So, there was something wrong with the first one. So, the second one comes in the mail and I knew something was off right away. They sent me just the device and nothing else. A refurbished one at that. The problem is, the packing slip says send everything back which I did but later found out in a separate email they sent, it stated do not send the plug or remote. This is something they should be more clear about and not have two different instructions but I do take partial blame for that. The other issue is, I was told I would get a new one so why send a refurbished one that was probably older than the one I sent in that I only used for one month. I called in with my concerns and the operator told me to just order a new one and they will refund me the money once I let them know I received it. I thought that was the craziest thing ever and I went back and forth with the operator about why I cannot and will not do that. I eventually asked for a supervisor which he avoided transferring me to and kept telling me they will just tell me the same thing. I asked a second time and then he finally transferred me over to his supervisor. This conversation was much shorter than the previous one and the supervisor had me put a new one in my cart, applied a credit to my account for the total of it, and then had me place the order all while on the phone with her. This was something I asked the previous person if was possible and they kept telling me no. This device came with a different remote so it was like an upgraded version. I get the new one and it seems to be okay the first day. The second day is when I have a problem turning it on. Again, I research to see if others are having the same problem. I saw with this updated one it says unplug it from the wall (the previous one said unplug from device) and it will fix the problem. Let me tell you, that’s just a temporary fix. Within one week, I had to unplug it and plug it back in three times. Right away, I tried to call it in. Could not get a response to the call. A recording would answer asking what department I needed, I said fire stick, call went blank. I tried the call back function, my phone would ring and I would answer and then it would disconnect. Tried this multiple times and it kept happening. Reached out to amazon on twitter and they had no idea there was an issue. This was just about one week ago. Since then, I haven’t spoken to anyone, it froze one time, and I have had to unplug it 3 or 4 more times, once being tonight and once last night. Nobody should have to go through these hoops every time they want to use this device so I figured it was best to write a warning so no one else has to go through this (I hardly ever write reviews). I hate that this is the experience that I have had but I hope no one else does.",1,0,negative,0.9358551502227783,0.006802987307310104,0.05734190344810486,0.9358551502227783,-0.9291,7,5303,1,0
BEAWARE SURROUND SOUND USERS,"The installation of the ""Firetv stick"" has been a NIGHTMARE. I have a surround sound system consisting of a large screen SAMSUNG HDTV, Yamaha receiver, Sony DVD, and a Time Warner cable box. The system was professionally set up several years ago, and was turnkey operation for me. Up until recently I have been able to stream movies from Amazon prime through Sony DVD. It was accessing my Sony DVD that I learned Amazon had made a change and that I now required to obtain the ""Firetv stick"". The Firetv stick when ordered appeared to be on backlog, and after almost three weeks, I was asked to reorder or get my money back, so I decided to reorder. What I thought would take me a half hour to install, ended up three (3) hours later frustrated and with the need to contact Time Warner to get my cable reset probably. The initial first two steps went well with the Firetv stick, then everything went down hill from there. After the registration of the device I was asked to select if the sound should come out of the TV or the receiver. I selected the Yamaha receiver, however when I tested the output of the sound it still seen to come from the TV, and not the five (5) surround sound speakers which concerned me. The next prompt appeared to asked what TV or music app's I wanted. This is were it really got BAD!. I selected the apps with the remote, but then I could not get out of that step. I looked for customer service phone number to call to get help, but none was listed on the instructions or box. That led me to log on to my lap top and get on the internet for Amazon to locate a Customer service number. In the meantime my beautiful surround sound system was a mess, and I could NOT even access my cable TV. I was stuck with the app screen showing on my TV. When I contacted Amazon customer service the initial person was not knowledgeable about the Firetv stick and had to transfer me to someone else, who again was not knowledgeable but leading to a third transfer. All of this probably took half hour by itself. Once I was connected to someone who was knowledgeable, after what appeared to be almost hour on line with him indicated that the connection was established were I could stream movies. However, now I was having all kind of problems with my cable tv, which during that point, he could do no further help, and I was left needing to call my Cable provider see if they could correct the mess and at the minimum get me back to the operation I had before going down the road to install the Firetv stick. Right now I have not tried streaming a movie, and I do not know if the ""Alexa"" feature is engaged. It would have helped if there was a customer service number in the instructions to someone knowledgeable about the installation to call for help and assistance. My system is set up where I press one button to cut on the whole surround sound system. I since believe in my case you cannot do that to install the Firetv stick. Cable has to be disengaged or not cut on. I will attempt this weekend to see if I can stream a movie. Right now I am too frustrated and afraid of messing up my surround sound system, which is to bad. Before this I was able to stream movies using my Sony DVD with beautiful and magnificent surround sound effects. No more need to go to the movies. So, yes this has left a very bad taste on I guess what is suppose to be a better streaming and entertaining experience using the Firetv stickFRUSTUSTED!!FOLLOW-UP: I decided to go back to the audio/video shop who sold and installed my surround sound system. They explained the FireTV Stick would NOT enable the surround sound. They recommended Roku which provides streaming, access to Amazon Prime, and can be connected directly to the Yamaha Receiver instead of the TV, and it WORKED! Thru Roku the connection with the receiver, I now again I'm able to stream movies through Amazon Prime, and have beautiful surround sound.",1,1,neutral,0.698144257068634,0.07532156258821487,0.698144257068634,0.22653421759605408,-0.1512,2,3916,0,0
BAD REMOTE BATTERY COMPARTMENT DESIGN; NO VUDU MOVIE APP,"[[VIDEOID:e8880f600f48873ca819a8b93e7234ba]] Update 9-17-19: The sound is terrible, using the Fire Stick, compared to using my Sony Blue-ray player, which Amazon is dropping for Prime Video this month. I have the Fire Stick plugged into an HDMI port on my Denon AV receiver as is my Sony Blue-ray player. The sound using the Fire Stick is muffled and very low quality. I am very disappointed with the Fire Stick. If you have never watched Prime videos using a Blue-ray player and AVR for multi-channel sound or just have it plugged into your TV you probably think the sound is all right. For me it is a huge step backwards and I will be exploring other options to get Prime Video, i.e. new Blue-ray or 4K player that supports Prime. It's not worth returning as I used an Amazon discount coupon, provide by Amazon, towards its purchase. Also noticed the prices dropped on both the standard and 4K Fire Sticks the week after I purchased mine. The 4K version is now less than the standard version I bought, not sure if the 4K version would have better sound or not. Too late to find out now. I think there are better options out there anyway for watching Prime Video.I purchased the Fire Stick because Amazon notified me that my Sony Blue-ray player won’t be supported for using Amazon Prime video after September of this year. I was given a coupon code for a discount on the purchase of a Fire TV product and I chose to use it on this.I almost sent this back because I, like others have mentioned, couldn't get the battery door open to install the batteries into the remote. The instructions on the sleeve the remote came in were useless, for me anyway, in getting the door off to install the batteries into the remote. I tried following those instructions pushing with my left thumb on the depression on the back of the remote while holding the remote in my right hand and pushing down. The door would not budge and I was worried about mashing the remote buttons while trying to apply enough force to open the door. I requested a customer support call and the first person I talked to was no help as he just tried to walk me through the instructions I had already tried. I wanted to talk to someone that could have a new remote, in hand, to open and let me know if the instructions worked for them or if they knew some trick to opening it. My call was cut off when I was transferred so I tried to open it, some more to no avail, before requesting another call back. The next person I talked to could offer no insight as to why the door wouldn’t open and said he had two at home and they both opened with no problems. We were discussing various options i.e. return, etc., and I kept trying to open it while we talked and finally got it to open.The trick is to forget about using the instructions and using two hands and the depression seen in the first photo with your thumb. All you have to do is hold the remote, as in picture two and apply light pressure while pushing down and the remote will slide open easily.As for the Fire TV stick itself I haven’t had it long enough yet to give it a fair evaluation. A big negative, I noticed right away, though, is no Vudu movie app. I have quite a few movies in my Vudu library and my Sony Blue Ray player supported Vudu. I did find a hack, online, to add Vudu to the Fire Stick though. So far, I would say, I am less than impressed with the Fire Stick compared to my Sony Blue-ray player.",1,2,negative,0.8551728129386902,0.015825465321540833,0.12900173664093018,0.8551728129386902,-0.8393,5,3432,1,0
"DONT BOTHER. BUY CHROMECAST, CHEAPER AND CAST WHATEVER APP IS ON YOUR Phone.","I wanted to purchase the fire stick with the headphone jack on the side of the remote. What I received was the model with out it. That is NOT why I give this product such a terrible review. Let's go down the list.1) As stated, I was intending on purchasing the model with a 3.5 mm head phone jack on the side of the remote, because my SO doesn't like to hear the shows when she's sleeping. I did not receive product that I intended to purchase. And amid covid crisis I can't return this product for fear of spreading the virus, and the idea of it being refunded and buying another one terrifies and annoys me and I refuse to further risk myself or my family catching the virus from a new fire stick I am now stuck with this.2) The second reason I wanted to buy a fire stick ( first fire stick purchase, usually I am a Chromecast kind of guy) was to help control my tv and my Alexa powered lights and Xbox. This device was supposed to act like Alexa with the Alexa hub, which I have and have installed. This feature has failed over and over and over. I have moved my Alexa hub back into the living room, because this feature almost never works. It will either not hear my command, or it acts like I didn't make one.3). The lack of apps, as I stated I love Chromecast, but chrome cast doesn't have a remote with a 3.5 mm headphone jack ( which I never received though I specifically ordered one) and it can't control my Alexa powered lights, Xbox, home, ECT. But one thing I love about Chromecast, that Roku and Firestick lack; the option to CAST apps from the the users phone. Rather than relying on apps that the device has already on its server which is what Roku and Amazon Fire Stick have. So being that I like other streaming services that I pay for monthly, ( IE Funimation.) I can't get through the app on the stick, so I can't watch it through the tv even though I pay monthly for it.4). The streaming is terrible. I have the highest wireless internet offered in my area, this device not only cuts out every few mins, but when it does ""Play"" it does so at such a poor frame rate that sound comes BEFORE the picture. The constant break down and buffering has me only watching from this device in a few instances.Now, normally I would never put this much effort into writing reviews, but this particular thing is something I'm passionate about.. I love being able to cast whatever I want to watch on various TV's and projectors..And this purchase from AMAZON, I honestly felt so ripped off. I WAITED WEEKS for this device, got the wrong one, can't return it due to fear of the virus, it doesn't work for a tenth of the way it's supposed to nor even in the basic way I'd like it to. And on top of all that, as if that wasn't enough, it constantly crashes out or just doesn't work.Honestly so disappointed in this device, I will be recommending people buy Chromecast from this point forward. I can't in good conscience buy another one of these products knowing I spent 39.99 for such a terrible product, and it's not even the product I ordered. You can buy a Chromecast from Walmart for $35 and tax, and you won't have to wait three weeks to get it. And you get the ability to cast ANYTHING, you want from your phone, laptop, computer, Xbox.",1,3,negative,0.8606142997741699,0.0111496951431036,0.12823595106601715,0.8606142997741699,-0.8495,0,3244,1,0
Not what I was looking for,"I had several big problems with this. I bought it for my mother, who is technologically challenged at best, and it just wasn’t a good fit for her and I didn’t like it to boot.1. I HAD to link to an Amazon account. I didn’t want to use mine, as all my info would be available to her, so I set her up a dummy account... however, I couldn’t download even free apps because I didn’t link a payment method to her new account, and there was no way to sign into my Prime Video account unless I linked my entire account to her Fire Stick.2. ADS. What the heck are all these ads? Not to mention all the videos advertised on the home page that you may or may not have access to through an app—otherwise you have to pay for.3. It was VERY easy to stumble on something that you would have to pay extra for, AND the payment pretty much would just go straight through upon clicking it. There wasn’t any “are you sure” or discussing payment options—which meant it was very easy to accidentally click on something and end up shelling out money for it by mistake. Which would NOT work for her. I ended up accidentally buying something myself trying to figure it out.4. I PIN protected in-app purchases thinking that would take care of the issue... it did not. There’s a separate box you have to mark for ANY purchases.5. After PIN protecting purchases, I still had difficulty with the search option on the home page. I could find the shows I wanted to watch, but when I would click to take me there, it wanted my PIN even though the app was already installed, rendering the search feature useless for my purposes.6. Couldn’t get rid of certain apps.7. The remote wouldn’t pair with my TV. Which wasn’t a big deal, I could use the other remote to change the volume and input, HOWEVER, as long as this thing was plugged in, MY TV REMOTE WOULD NOT EVEN WORK. There was no adjusting the volume! No changing the channels! But as soon as I unplugged the fire stick, the remote would work again. (I tried after this with my Roku, and it did the same thing, so it was apparently just an issue with the HDMI ports on this particular TV, but it made the fire stick useless to me anyway.)Overall, even if it had worked as intended and didn’t throw my TV into a fritz, I still wouldn’t have kept it because I didn’t like the interface. Which is something I should have anticipated considering I don’t like Prime Video’s interface to begin with. But it was recommended to me, so I gave it a shot. The one thing I did like was the remote. It was very clicky. 10/10, would recommend the remote.",1,4,negative,0.8848463296890259,0.007534079719334841,0.10761961340904236,0.8848463296890259,-0.8773,0,2562,1,0
Junk What a tiresome Joke.,"This is the fourth time I've purchased Firestick. The remote control fails within the first year. Last time, within the first month. It took hours of time texting within remote chat, answering a hundred very stupid questions before I finally got a replacement 'remote control'. We'll see how easy it is to sync it with the firestick. I think more and more, electronic companies are going on the cheap. We're paying top dollar for poorly manufactured materials, and penalized if we don't buy an extended warranty. A product has an implied warranty, that it will last past the value you paid for it. This goes for phones, computers, television sets, etc. I spend more time trying to get problems fixed than the products are worth. Probably not even quality tested before being shipped out in bulk. We deserve better quality for our hard earned money... and not spend as much time with customer service every time a product fails. Sad, really sad. Customer satisfaction is a thing of the past!!!!On a hilarious note, the replacement remote also broke 2 weeks after arrival. I called to tell them it wouldn't turn on the TV or control volume, but it could navigate the Firestick Menu on my television. What do you think was the first question I was asked ? ""Have you checked the batteries""? Oh right, a remote with dead batteries can change channels. I finally negotiated a new remote.The shipped the USB connector for the back of the TV instead.Called customer service, and all of the telephone lines are shut down until further notice due to COVID. Can't find a chat. They really just want to prevent people from getting what they pay for, yes? Being able to charge you for junk, making you spend hours on the phone asking for proof of faulty equipment? And then ship you the wrong thing and give no way of contacting them?If there's one piece of legislation I'd like to see passed, wait, two. 1. Every purchased item comes with a toll free customer service number that's at least opened during normal business hours Monday through Friday, and 2. That you don't need to sit on hold listening to ridiculous promotional recordings that you probably have to listen to anyway, even if a CSR is available. Forced advertising isn't part of customer service. FED UP!",1,5,negative,0.9054775834083557,0.008124036714434624,0.08639837801456451,0.9054775834083557,-0.8974,3,2257,1,0
"Updated review, product is still bigger piece of junk, not worth the plastic it is made of","Update May 2020I decided to buy another because I don’t have much options. This one also crashes within 15 minutes. We thought that maybe it was here at home because of internet so we took it to the RV and there is great wifi. Lots of others use the fire stick to watch tv. No problem. No luck. This one still, within 15 minutes crashes and returns to home screen. I figured I’d give it to a neighbor and they returned it the next day. It kept rebooting on them too, they don’t want it. I don’t want it either. Going to try the newest Roku instead. It cannot be worse than this!UPDATE - APR 2020I got an email from someone offering me a $50 amazon gift card to permanently delete this 3 star review. Wow. We have had nothing but problems with the unit. Every single time it is used, either the screen will go to blank black for 2 to 8 minutes, will crash and go back to main menu, will lose internet when the router is 15 away, no sound, or freeze. Every single time is a crap shoot which problem we will have. Some shows allow you to continue where left off, some need to be started from the beginning and some won’t let you fast forward. Even the Roku did not have these frequent issues. To offer a reward for removing a bad review when it is accurate is very bad business. Because now, I have it public. And posted via Facebook, insta, and twitter. We don’t even use the voice remote feature, so this is a colossal waste of money. If you have other options, take it. Don’t buy this unless you must. The product is junk. Seeing the other bad reviews, I get it. To have us delete them because you don’t like what is truthfully said is sad and bad business.**************************Bought this to replace our aging Roku stick. Seemed easy enough to install and use. Interface is faster, which is a great improvement over the (Roku). However, it will reboot constantly back to the home screen. Sometimes 3 to 4 times in a half hour. As you can imagine, this gets old pretty fast. Never had this issue before.While we got it to escape cable, still tons of ads in programs. Feels like we are in Demolition Man movie. I guess that’s our future. Welcome to 1984.",1,6,negative,0.5958022475242615,0.07456941157579422,0.3296283483505249,0.5958022475242615,-0.5212,0,2158,1,0
disappointing thus far,"I ordered the Fire TV Stick because Amazon Prime will stop streaming via my Sony BluRay in September. I was excited to try the fire stick and the price was excellent. The reviews were also excellent mostly. Unfortunately the fire stick would not connect to my WiFi. I spent MANY hours on the phone/chatting with amazon techs trying to resolve. No luck. Then I spent hours working with Linksys techs on my wireless router trying to connect with the fire stick. It seemed impossible to me that my wireless router was able to support my bluray, my Xbox, my cellphones, several smart TVs, an Echo, yet not be able to connect to the fire stick. We decided to buy a new linksys router. We also ordered a replacement fire stick.I hooked up the new wireless router and tried the original fire stick. It connected immediately. So it cost me $125 to get a new wireless router so I could use the fire stick. The replacement fire stick connected as well, so there was nothing wrong with the original one.Then last night when we were streaming amazon prime via the fire stick, we discovered that Closed Captions were delayed by many seconds making CC more of a nuisance than the helpful aid it should be. We enjoy foreign films and shows and many times accents make it hard to hear words clearly so we use CC all the time.We have been streaming both Netflix and Amazon Prime for many years via our Sony BluRay and have NEVER had delay problems with Closed Captions.Right at this moment I am so disappointed with all the problems I have had with the fire stick that I can only give it 1 star. I had to replace my wireless router at a significant cost even though my old one supported ALL the devices in my house, as I mentioned earlier. And now the delayed Closed Captions problem is maddening. From what I have researched, there may be no fix for that. And I am not looking forward to spending any more of my time talking with Amazon techs.I know there are many people who love the fire TV stick. I wish I was one of them. I can't give up because I must find a way to stream Amazon Prime by September 26, when they will know longer stream thru my BluRay.",1,7,positive,0.7749723196029663,0.7749723196029663,0.166288360953331,0.058739352971315384,0.7162,3,2141,0,1
Have had 4 fire sticks stop working for me this year... are they really such a great value?,"Now one of the fire sticks was the first one I bought 3 or 4 years ago. That was totally worth it for 35 dollars but since then I think Amazon has designed these to fail within a year so you have to keep re-buying them every year or half year. So the first stick started going really slow where it took forever to boot up and couldn't play videos so I happily replaced it at the beginning of the year. Well not too long after getting that one I was having to replace the batteries in the remote every few days! So that one got moved to the bedroom where I had to take out the batteries of the remote every time I was done using it. So foolish me bought another one for the living room. This one started not being able to connect to the internet after a few months and the device would restart on its own sometimes right in a middle of a show or sometimes when you were searching. This got progressively worse over half a year to the point where it would just restart every time you tried using it. So even more foolish me buys another one. After a few months the same thing happened and I said to myself I will never use a fire stick again. Buying 4 sticks a year just isn't worth it. So now we had no way to watch prime even though I had 4 fire sticks and 2 TVs in my possession. Then my mom says well I'm not using my stick so you can have it. OK since its free I guess I'll try it. Guess what the thing restarts randomly just like the rest of them and just like the rest of them it is happening more often the more I use it. Amazon should be absolutely embarrassed to put out such an inferior faulty product. The only reason this sells, and the only reason I bought it, is because Amazon's name is on it. I hate Apple more than any company in the world but in this case I am going to buy an apple TV over a dozen fire sticks.... It just doesn't make sense to replace a stick every half year as I did for both my TVs this year. I have so many fire sticks laying around my 2 year found one and started playing with it as a toy, he uses it like a taser to ""shock"" me haha. I think I have had more fun with it that way then using it for its intended purpose.",1,8,negative,0.4812127351760864,0.15352341532707214,0.3652639091014862,0.4812127351760864,-0.3277,3,2157,1,0
"Glitchy, laggy, awful, predownloaded crap takes up memory you don’t have. 2 thumbs down.","I ordered this product roughly two weeks ago. A couple days after my purchase I checked shipping status to find that UPS had destroyed the entire package to the point it had to be returned to the warehouse. After numerous calls I finally got it sorted out & got another one sent out. So a week later it finally arrives, I’ve never owned a FireStick & have had nothing but problems with my Rokus so I was very excited to try it out. Minutes after setting it up I immediately regretted my decision to purchase this FireStick. I don’t know if they’re all this unbearably laggy & glitchy or if I just got a lemon. It’s at least 10x slower than my roku on all occasions. I’ve had this product in my possession for all of maybe 30 minutes at this point. In those 30 minutes I have received an error stating my internet connections been lost & I need to restart my modem & router at least 20 different times, then seconds later it leaves the error screen & goes to the network connection screen where it states my internet connection status is “Very good” as you can see in the pictures I’ve attached. I can barely even use the FireStick or try to explore the user interface because the network error constantly pops up & forces you to leave whatever you were doing beforehand to deal with the connection issue which it then tells you is fine & you have to go back & start what you were doing all over again. I’m going to give this product a chance for a couple more days & if these issues persist I’m returning it immediately. I’ve never been so disappointed in an amazon product before, specially considering everything I had to go through just to even get the package delivered without begging destroyed first. I don’t care for this product at all, it’s too cluttered & crammed with predownloaded crap that amazon put on that I have absolutely no interest in & is now taking up space on the very limited 5GB of memory I have & nothing I do gives me the option to actually delete these unwanted apps. It’s almost as bad as when Apple forced everyone to download that god awful U2 album that literally NO ONE cared about. Amazon, you should’ve done better with this one. Major flop.",1,9,negative,0.5077190399169922,0.09962667524814606,0.39265432953834534,0.5077190399169922,-0.4081,3,2176,1,0
