title,body,rating,review_id,sentiment_label,sentiment_score,positive_score,neutral_score,negative_score,compound_score,topic_id,review_length,is_negative,is_positive
"Although they are amazing, I'm now on my 4th pair in 4 years.","1 star because although they are amazing, I'm now on my 4th pair in 4 years.I bought my airpod 2nd gen directly from Apple (not on Amazon). My first pair had the microphones go out, but I didn't realize it until just after the 12 month warranty expired. I just thought Siri sucked and couldn't figure out what I was asking. Had I realized it was a microphone issue in time, I would have been under warranty. However, when I finally realized the microphones fully quit working, they wouldn't replace them (days past warranty). Soon after this the speakers on one side started going out. I had to adjust the iphone sound settings to have less sound go to one ear so they balanced out and then up the volume. At this point I decided I'd get a new pair because I use them all the time and need sound and microphones working.So, I bought a second pair. Fast forward several months and the microphones quit working on this pair. This time I call for warranty asap. They checked things over with me and replaced them. To apple's credit, it was single day shipping and quick turnaround.So, onto my third pair. About 3-4 months in with my third pair, the microphones quit working. WTH. I am so careful with these things and have no clue how or why this could possibly be happening. I was so busy working at the time I waited to contact support (thought the new pair would have typical 1 year functional warranty expectations). Well I was wrong there. Spent a long time with Apple support and learned that the replacements are only covered for the remainder of your original pairs warranty (or 90 days if your previous pair were under that time remaining). So, they only guarantee the replacements will function properly for the time remaining on your previous product warranty? I get that they don't want people seeking a brand new product every year through minor warranty claims, but what if the replacement product legit fails in a short period of time?After being escalated to senior support staff at Apple and some more discussions, they ultimately agreed to make an exception and provide me a warranty replacement pair. Sent them in and they confirmed the issue and replaced quickly. Again, quick turnaround with warranty shipping.So, onto my fourth pair. Everything works great, but it's only been a few days.I love the airpods. They sound great. I prefer earbuds that don't ""plug"" my ear and these fit my ears well. Only real issues have been those mentioned above. Another issue has been battery life. It's great when they are newer. Normally, they notify you when they are running low several times before powering off. As they get older, I'll get that low battery sound and then they immediately shut down.The airpods have amazing reviews and ratings by thousands, so I'm shocked I can't find anyone else having issues with microphones like I am. They are great when they work, but I've had tough luck getting them to work correctly for more than a year.UPDATE on 4th pair... less than 3 months into the 4th pair and people were occasionally having trouble hearing me in conversations. I isolated the left vs right mic in the settings and figured out the the right airpod microphone is going out (distant soft sound and cutting in and out). Didn't notice earlier because the left still works fine and it must autoselect that mic most of the time. Called apple and looks like I'm still in the 90 day warranty on replaced items (thankfully I caught it in time), so it looks like I may be able to get the right one replaced. Will have to again send the entire case and both airpods into their service center first to have them checked.I put these in my ears. I put them back in the case. I really don't understand how each pair could keep having this issue.",1,0,positive,0.8170839548110962,0.8170839548110962,0.1427188515663147,0.04019718989729881,0.7769,6,3756,0,1
Very Disappointed,"AirPods have always been a complete disaster. I’ve had three pairs of these over the years and they are all share the same trait: ABSOLUTE CRAP. I rarely use them anymore and I will never buy them again or recommend them. They are a complete rip off for the price you are paying. Apple only made the thing for pure profit and nothing else. Do not be fooled by the ads on tv for airpods, they are full of a bunch of bs and make them seem ages better than what they actually are. The build quality is ok. The sound quality however is terrible. The mids are ok but there is one thing that pisses me off, airpods HAVE NO TOP END. None. 0. They sound terrible. They sound like regular old earbuds in the sound quality department. Definitely not $130 “headphones.” If you could even call them headphones. The third problem is the way they fit in your ears. They fit like crap. They never feel like they are truly in the right spot and they constantly move around and shift position. And the sound gets worse every time they move. So you have to fiddle around with them to get them in the right spot to delver the best possible sound. The fourth problem is the way they preform around noise. Even since the first time I got airpods, I only liked using them in a near silent room. If you try to use them where there is a bunch of noise or if you are outside and it’s noisy, you have to jack the volume way up. Making the sound even worse. The more noise you have, the more of the top end disappears. For example, if you are outside and you are on your morning run (which is what I was looking forward to using these for when I first got them) you might as well forget it because all you will hear is the upper mids and treble. And trying to adjust any audio settings to fix that problem makes them sound even worse. The fifth problem is the battery life. The battery life is mediocre. And that is a generous statement. Under normal use (for me anyway), The case needs charging about once a week which isn’t bad. But that actual AirPods are not good. I normally have to charge these about twice a day sometimes even three times. The batteries in them are not meant to last. The more you use these, the less they hold their charge. It’s ridiculous. When I first got them, I could go a whole day without having to charge them and now I Cant go a full day without having to charge them at least twice. It seems to me that Apple designed the battery in these to absolutely kill itself right before they release a new version of airpods. So that way everyone will happily fork over hundreds of dollars to get the next pair of overpriced ShitPods. Yes, you may look cool wearing them. But here is a fact, no one hates airpods more that people who own airpods. If I pay $130, I better be getting some very decent headphones. But no. These are crap. Back in 2012, I bought an iPhone 4s and it came with a pair of standard Apple earbuds. I still own those earbuds. What makes me frustrated is that those earbuds from 2012 sound ages better than the CrapPods. I’d AT LEAST expect the sound quality to be the same if not better than some $15 earbuds from 2012. The bottom line is: do not buy these if you are looking for some actually decent headphones. It will save you a lot of time and money. There are so many better alternatives out there for the money. Don’t get ripped off. Don’t waste your money. Don’t buy airpods. Get something else.",1,1,negative,0.8993865251541138,0.018812835216522217,0.08180058002471924,0.8993865251541138,-0.8806,0,3423,1,0
Very high effort fake airpods,"Real airpods are 5 stars, but Amazon is filled with fake airpods, and the ones I received weren't obvious. I saw a review here of someone who had trouble with their new airpods, brought it in to Apple for fixing, and the Apple repair team concluded it was a high quality knockoff. Turns out I'm a victim as well.It's like someone gutted a real pair of airpods, replaced the internals with cheap knockoffs and put it back together. EVERYTHING with my ""airpods"" was identical and seemed brand new. Plastic wrap was around the oem box (pretty easy to fake nowadays, but still impressive nontheless). Everything was immaculate just like a new box of airpods, OEM feeling cable, etc. The feel, touch, glue, placement of holes and patterns of the airpods seemed identical to my older airpods.1. The biggest clue was audio quality. The audio quality was considerably worse than regular airpods. It was noticeable right off the bat, especially when talking with other people. It was especially obvious since I still have my old gen 2 airpods to compare with.2. Bluetooth was very unstable. Leaving more then 6 feet away from my bluetooth adapter made it go haywire and produced a lot of static. It would also randomly go offsync with the left and right earbuds when listening with both of them on.3. Battery life. They lasted about 2-3 hours before the battery died on them. Not much else to say about this, just way lower battery life than new airpods should have.Interesting thing to note, the Apple limited warranty should NOT be used as a metric to see if it's legit. The first thing I checked was to see if these fake airpods had warranty, which it said I had 1 year starting from the day I paired it with my iphone 9/22/22. I thought this assured me that I had a legit pair of airpods. Once I concluded the new airpods were fake, I did some testing and all I did was put my real old airpods with the new fake airpod charging case, and now my old airpods purchased in 2019 said I have 1 year of warranty starting on 9/22/22.CONCLUSION: BUYER BEWARE, HIGH EFFORT AIRPODS SEEM TO PLAGUE AMAZON. If you want to save ~$25 bucks and roll the dice get these on Amazon. If you don't want to take the risk of dealing with this headache, just buy it directly off Apple.",1,2,negative,0.8072705864906311,0.02059689536690712,0.17213252186775208,0.8072705864906311,-0.7867,0,2257,1,0
Terrible product support with unrealistic expectations of customers,"My wife purchased these for me as a gift in August 2020 and they worked great up until about a month ago. At that time, the right ear bud microphone began to fail and would no longer detect sound unless I was yelling. I contacted customer support at Apple and worked through all of the potential resolutions such as updating to the newest iOS (14.6) and confirming that the AirPods were running the most recent firmware. When customer support was not able to resolve the issue they suggested that I send the AirPods in for repair. I received a shipping box and label for FedEx and sent them offer for repair. The AirPods arrived back at my home about 3 days later with a note from the technicians stating that there was nothing wrong with them. I then tested them again on my phone and my wife's phone, and with both phones the right microphone would only detect sound at a loud volume (i.e. yelling) and yet still garbled. Again I contacted customer support at Apple. This time the agent suggested that the next step would be to take the AirPods to the nearest Apple Store so that I could demonstrate the issue for a technician there. Unfortunately the nearest Apple Store is 2.5 hours from my home, though this did not seem to be an inconvenience in the eyes of the agent. At this point, I stated that it did not make sense to drive 5 hours round-trip to repair a $130 device, and I questioned why I could not send them back for repair while identifying the exact issue. The agent agreed to send another shipping box and to include on the repair ""ticket"" that the issue was with the right microphone. So... (can you guess where this is going?) I received another box, sent the AirPods a 2nd time for repair, and waited. Again, they returned them to me and stated that nothing was wrong with them. And again, the right microphone still does not function correctly. At this point I am left wondering why the ""World's Most Valuable Company"" would find it acceptable to ask a customer to take 5 hours of his/her time to fix Apple's product, instead of simply sending a replacement pair and keeping the customer happy. Apple's product support has ruined what could be a great product.",1,3,neutral,0.45548775792121887,0.24771490693092346,0.45548775792121887,0.29679736495018005,-0.0491,6,2181,0,0
Worst Apple Product There Is,"I really want to like them. They're supposed to be effortlessly convenient to pair and use for all your Apple devices while sounding and looking good. But they're not....they're none of that. Let me explain:Sound - it's ok, really. No seal so you hear all the ambient noise around you which is good and bad depending on the situation. Not much for bass extension, treble is flat but clear. Adequate all things considered. If you've used the old design earpods, these are nearly the same sound profile. On a plus, the microphones are very good.Features - very little to say here. They're Bluetooth (5.0) so they pair quickly and have long range, when they work (more on that later).Battery Life - very good, a couple hours at high-ish volume on the pods and half a dozen charges per case charge. More than I need for most situations.Functionality - 100% atrocious and I've had 3 sets of these (shame on me). The case and charging system is so faulty it leads to numerous other problems with pairing and connecting both AirPods at the same time. The contact points in the case and on the pods where they charge easily loses connection, dirties, and later corrodes. Using them for fitness around any sweat or moisture will speed up their inevitable failure. Once this happens, one pod will refuse to charge or stay connected when put back in the case, draining it's battery or trying to reconnect to different devices when in the case. Even if they didn't suffer constant bugs, the pairing with multiple devices is equally buggy, frequently losing connection or trying to connect to other devices in the house for no apparent reason.As far as I can tell, AirPods Pro share the same charging design, so I will listen to my own advice and stay far away from these until the design is fixed. I would advise you do the same.",1,4,positive,0.5576516389846802,0.5576516389846802,0.27032670378685,0.17202165722846985,0.3856,5,1817,0,1
"Needs improvement - average sound, very poor bluetooth (worst of any device)","Update to original reviewBattery life: is the worst of all devices I have. These are one year old - batter life dropped to 30 minutes.Bluetooth connectivity: you will not find a device that is as bad as these are. I have never struggled with Bluetooth on any device (we originally purchased 3 sets for xmas gifts - everyone hates with a passion the incredibly POOR bluetooth connectivity - you will disconnect, reconnect, disconnect, reconnect - constantly until both the headset and mic work! this is with MAC BOOK PROS (also never buying another one)). You can expect to connect - wait an hour before you ever finds it. Connect - no sound. Connect - microphone does not work. it's a miracle when any part of these massively overpriced headphones work. it's unreal how impossible it is just to get them to work. (again - THREE pairs in the house - everyone hates them.I would strongly say - buy ANYTHING but these. From their horrible tech to their very mediocre sound - what a waste of money. I can say one thing - this is the last poorly designed, poorly implemented tech that I will ever buy from Apple again. Such complete garbage.To be fair - buy them. when you see it's a nightmare to connect them and get both the mic and sound working - come back and comment. Apple has this ego trip where everyone in the world must align to them. if they don't - they refuse to work. That might sound good in the heads of the engineers at Apple - but us consumers simply say - never buy those horrible apple products again. Instead - we buy devices where the many fine companies in the world try to earn your business vs Apple's - you need to please us policy.Amazon has a wonderful CEO - we are big fans. if he happens to read this review - PLEASE! Create a pair of ear pods so we can buy them!",1,5,negative,0.8729671835899353,0.02425571344792843,0.10277708619832993,0.8729671835899353,-0.8487,0,1789,1,0
Bad product and bad customer service,"I’ve been having connectivity issues with my AirPods for about 4 months now and I contacted them 2 months ago, I worked with apple support from the beginning of me realizing it was an issue— all the way from restarting network settings to sending my AirPods in. They obviously fixed the issue when I sent them in, as the issue went away once the AirPods were returned to me. To my surprise they stopped working within a week or two so I contacted them… again. This time to no avail, “Raiza” said it was my phone and asked for me to try connecting AirPods to other devices, as they “never found faulty issues when the technician worked with my AirPods to try to fix them” (why was this never even communicated with me anyways, til I contacted them? Communication issues?) Mind you, I don’t have other devices to try AirPods with, but I do have a JBL speaker I always connect to my phone with, and I never have connectivity issues with it, so I know for a fact the issue isn’t my phone! Apple support really has trust issues, and don’t take their customer’s concerns seriously or professional because it wouldn’t be the case that she kept insisting it was my phones network settings and was also told her boss would tell me the same thing. She then proceeded to end session as I was typing. I’m astounded at apple customer service. Maybe it’s a sign apple needs to spend more time either training or paying their employers more. Or charge their customers more for the warranty? Next time, I’ll remember to keep getting my devices through T-Mobile, they are much more helpful when it comes to warranty and have never had issues replacing my damaged apple devices throughout the 7 years with them; plus—no delays and no rhetorical questions! Thank you for stealing my money, Apple.",1,6,neutral,0.490511953830719,0.07785259932279587,0.490511953830719,0.43163543939590454,-0.3538,6,1777,0,0
The most overrated earbuds on Earth,"Decided to see what the hype was all about and bought Airpods. While they are admittedly aesthetically pleasing and pair nicely with Apple products, I just don't see what the hype is about. They're incredibly uncomfortable and fall out of my ears whenever I walk or laugh (and yes, I have tried orienting them differently in my ears to no avail). If they're not falling out, they feel incredibly loose and like they are about to fall out. I looked online to see if other people were experiencing this and how to fix it, and found some articles about how airpod covers are available to allow the earbuds to stay in place. For the price I'm paying for these earbuds, why do I need to buy another $13-20 product to make the $135 product actually possible to wear? Absolutely ridiculous. Why should anyone have to exert additional effort to actually make the product functional? After messing around with the Airpods, I finally gave up and put on my ($10 ) earbuds that have the same sound quality and infinite more comfort than Airpods. I really do believe that Apple is the only company on this planet that can get away with its product being designed so poorly that methods to make their product wearable have to be created. I also noticed that switching the Airpods from my Macbook Air to my iPhone XR was a hassle. I would have to tap the option to forget my Airpods on my iPhone and then reconnect them after using them with my Macbook Air. Finally, I know people who swear by these earbuds. They work well with other Apple products and look good on the wearer, but I don't think that these reasons justify the price tag or all the other cons I've listed above.",1,7,negative,0.6596723198890686,0.0617624968290329,0.2785651683807373,0.6596723198890686,-0.5979,0,1663,1,0
We have been forever changed for the worst.,"I purchased the second generation iPods a few weeks ago. They would not stay in my ears, it didn’t matter if I was sitting completely still, walking slowly down the stairs or down the block, every time I moved my head the slightest bit they came out. So, I read every article I could find to fix this problem. Tried almost all of them. Even the ones that Apple recommended not to try. Nothing helped. Today I had a great experience with them. I went on a long slow walk and they, of course, fell out immediately. I kept putting them back in. Then, when the left pod fell out it tumbled down into a sewer drain. I continued my walk without any music and really enjoyed myself. I realized that as a society, we have forgotten the difference between inside and outside. From people talking on their phones while pushing a baby carriage in the middle of a crowded parking lot, talking or reading texts while crossing the street, to my favorite, talking loudly in an elevator, we all seem to want/expect the same experiences both inside and outside. Those of us who have/had young children, remember talking to them about using their inside voice and outside voice. There is a difference and a reason we said that!! It’s very simple. Inside and outside are DIFFERENT!! There was a time when you could tell someone was an idiot, they stopped at the bottom of an escalator and started having a conversation. Now we have completely lost our minds. By the way, I truly appreciate that new technology has changed our lives for the better. But, It is our responsibility to respect others, realize boundaries and not be morons.",1,8,negative,0.6987670660018921,0.05842267721891403,0.2428102046251297,0.6987670660018921,-0.6403,4,1615,1,0
Falls out of ears easily,"I got these for free directly from Apple and that's the only reason I have them. I knew I'd never buy these -- just from the looks of the all hard plastic design I knew they would be a poor fit, especially being that there is no silicone tip to stay gripped in the ears and to provide a good seal for the best sound possible. What I feared is exactly what I experienced when I got to use these.It integrates nicely with other apple devices, and is also able to connect to non-apple devices as well. Sound is good with initial ear-seating, but it quickly loses seal and starts to fall out -- this is when I'm just sitting still. What's the point of having great technology if it cannot be used? Also, what's with the lightning port instead of the standard USB when Apple has so much concern over plastic waste? Side note : The whole trend of eliminating headphone jacks and forcing customers to purchase wireless headphones and/or accessories to use existing headphones already owned by customers fully contradicts Apple's advertised concern for waste reduction. All it does is it increases Apple's profit with our money and takes away our choices. Also now you have copycats like Samsung and others doing the same -- end of side note.I guess since it has Apple's name, too many people blindly rate 5 stars no matter what. I'll give them 5/5 stars for their marketing strategies. The price is just plain funny but I guess that is the new normal. The airpod pros are the practical choice if one was deciding on only airpods, but at that price it's a bit too much considering other available options.",1,9,negative,0.5411643385887146,0.14002478122711182,0.3188108801841736,0.5411643385887146,-0.4011,0,1597,1,0
