title,body,rating,review_id,sentiment_label,sentiment_score,positive_score,neutral_score,negative_score,compound_score,topic_id,review_length,is_negative,is_positive
Shrill sounding with no bass.,"While I'm not an audiophile, I DO know good sound when I hear it so trust me.. these things are really anemic in the &quot;bottom end&quot;. The 9mm drivers, 20hz-20Khz range and 97dB/mW specs for these ErgoFits are pretty standard for good sounding buds so I assume the problem must be with Panasonic designing the speaker outlets on these as OVALS instead of round in the interest of more ergos and comfort.. Well, they should've left it alone because they're not any more comfortable and tbh, are closer to screetchy nails on a chalkboard than anything with &quot;hi-fidelity&quot; :-/By the way, it has NOTHING to do with which size adapter is installed for &quot;making a better seal&quot;, etc. See, since these Panasonic ErgoFits and some other buds called JVC Riptidz were both under six bucks, I got both and just tried them side-by-side. It was like night and day!To those that feel the bass on these is adequate, it may be because you don't have another set for an immediate relative comparison, or it's just a matter of taste where bass isn't a priority.I'm not surprised the Riptidz blew these out of the water because they've got bigger drivers, a wider freq range and higher output overall.JVC Riptidz: 11mm drivers, 10hz-20Khz range, 101dB/mW output.Panasonic ErgoFit: 9mm drivers, 20hz-20Khz range, 97dB/mW output.It's just a matter of physics and the numbers don't lie: the Riptidz deliver more quantity of low end, while the mids and highs were more similar. But even for songs (or parts of songs) where the low end wasn't prevalent, the ErgoFits seemed shrill, cold and lifeless in comparison while the Riptidz were better balanced tonally.I probably wouldn't have been so harsh on these Ergofits if I didn't have the Riptidz for a relative side-by-side comparison, so you may actually find these, &quot;OK&quot;.To sum up, I'd advise steering clear of these and going with the JVC's or you may find yourself fiddling with ear adapters and your EQ in some futile hunt for all the missing BASS. And you won't find it because Panasonic killed it in their R&amp;D lab with these stupid &quot;oval holes&quot; lol.",1,0,neutral,0.4504958391189575,0.20711612701416016,0.4504958391189575,0.3423880338668823,-0.1353,2,2130,0,0
Horrible. So much for reviews.,"What is wrong with these people? Never before had the reviews lied, but I don't know what has gotten into these other reviewers this time. I actualy am starting to wonder if Panasonic has planted moles to write good reviews for this product. They clearly have never listened to music in their lives. I would give this 0 stars if that we're possible.These earbuds have absolutely no bass whatsoever, and on top of that, they're extremely tinny. I didn't think there could be anything you could buy that has bad value that was under $7 as long as it worked, but this proved me wrong. Listening to the Tron soundtrack, which is very bass heavy, it sounded almost foreign, as you could not hear many of the important parts of the music (because they are bassy notes). Listening to ""Another One Bites the Dust"" by Queen (I think that's the name), I couldn't hear the whole first 20 seconds or so before the singing came in, aside from some very subtle tingling feelings in my ear where the the bass guitar plays, and I recently took a hearing test and was found to have average hearing, so that wasn't the problem.I know I only payed $7, and you get what you pay for, but I wouldn't pay more than about $1.50 for these, maybe even less. The whole reason I bought these was to replace the cheap $3 ones I got off of eBay that kept breaking after about 2 months each time, but to tell you the truth, even the $3 ones put these to shame. I thought that I might as well spend an extra few bucks to get a name brand that would at least last, but these are horrible. Words cannot express my hatred for these earbuds.These earbuds will be sent back, and the $7 will be spent on RCA earbuds that I have used in the past and I know to be of great quality.",1,1,negative,0.9294054508209229,0.006993448827415705,0.06360119581222534,0.9294054508209229,-0.9224,0,1741,1,0
Finally! Earbuds that don't hurt my ears.,"EDIT: These worked for less than 1 day. I tried them out right after they arrived, the sound good and they were very comfortable to wear. I watched half of a movie on my laptop, switched them to my MP3 and walked 3 miles, did a little stretching then put them on my dresser...the next morning I started my MP3 and the sound in the left ear kept going in and out, I checked to make sure the jack was plugged in all the way and as soon as I touched it the sound came back but when I let go it went out in the left ear again. I'm an adult, not hard on the things I have (I've had the same Sony MP3 player for 4 years and it's going strong) and I know better than to pull on the cord when removing the buds from my ears so obviously I'm not impressed with the durability will be asking Amazon for a refund.YAY! Finally a pair of earbuds that don't hurt my ears... Not sure why it is, maybe I have small ears, but I frequently have problems with earbuds hurting after wearing them for only a minute or two. I haven't had any problem with these hurting even when wearing the for long periods of time, in fact they are really comfortable, and so far they are staying put in my ears when I'm doing busy with more energetic activities (think biking, yoga, vacuuming, race walking, etc.). Sound is good (although I'm no audiophile), clear without any undesirable static noises and the bass sounds good to me. I can't speak for their ability to stand up to daily use as I haven't had them long, but if they fail I'll come back with an update. I gave them 4 stars because they are so far as expected and haven't disappointed me. I rarely give 5 stars, only if something performs well above and beyond expectations so a 4 star rating is high in my book.",1,2,positive,0.8818501830101013,0.8818501830101013,0.11282709240913391,0.005322661716490984,0.8765,3,1740,0,1
Disappointed with the fit after reading all the great reviews,"I bought these because they have great reviews and people say they're great for running, but I have found the opposite to be the case. Maybe there's something wrong with my ears, but I've tried all the inserts and there's no way these things stay in my ear.I run almost daily and just want something for background noise and to hear Runkeeper. I have used LG Tone (http://www.amazon.com/LG-Electronics-HBS-730-Bluetooth-Headset/dp/B009A5204K/) in the past and although they're definitely not made for running, they at least stay in much longer than these Panasonics. Where as I'd have to adjust/put the LG's back in my ears maybe every 1/4 mile, the Panasonics come out every 100-200 meters. I got so frustrated with them, I just pulled them out and listened to the speaker on my phone instead.I wasn't as concerned with sound quality as I was with them just staying in place. However, the sound quality is kind of hit or miss. Some songs sound good, but most content is just &#34;ok&#34; with somewhat boosted highs and missing lows. A problem I don't have with my Sennheiser headphones (which couldn't ever be used for running). I'm not one of those people who likes the smile curve (boosted lows and highs); I like a flat frequency response and these headphones sound like the highs are boosted and the bass is missing. You wouldn't listen to rap in these. They do a decent job with good quality music, but you get what you pay for - don't expect miracles.Back to running: so far the only headphones that I've tried that stay in my ear well during the runs are Yurbuds (I have two different types), but I plan on trying a few more, at which point I'll update my review with more info.",1,3,negative,0.6151865124702454,0.09655442833900452,0.2882591485977173,0.6151865124702454,-0.5186,1,1687,1,0
"Listening to music on these was painful, in more ways than one.","Really disappointed in these after reading so many great reviews. I'm always searching for great-sounding yet affordable in-ear headphones. I've never used a pair of headphones that cost over $15, so I can't imagine I'm expecting too much. Here's what I found:Sound quality: Highly disappointed. I switched back and forth between these and a couple of other sub-$15 headphones while listening to a couple tracks that I know well and that have a wide range of sounds represented. The Panasonics had noticeably less volume, an uncomfortably crisp treble, and hardly any low or low-mid to speak of. This is AFTER fiddling around with the different sized earpieces and forcing a good seal. Switching back from these to my Skullcandy Jibs ($10) was like taking a breath of fresh air: night and day difference. Even putting in a pair of $5 UPS store in-ears after the Panasonics was refreshing.Comfort: These may have been the most uncomfortable in-ear headphones I've ever tried. I felt like the hard plastic was cutting into the inside of my ear, and any movement only made it worse. It also felt strange and unusual to have the &#34;marshmellow&#34; earpieces so off-center. A good seal was difficult and required quite a bit of fiddling, and wasn't even rewarded with very good sound. Again, it was immediately refreshing to switch from these to any of my other pairs of cheap headphones.About the only good thing I have to say about them is that they come in some nice colors and have a right-angle jack, which I actually appreciate.I'd still much rather have a $5 pair of hideous UPS Store headphones over these any day though.",1,4,negative,0.8434728384017944,0.025437377393245697,0.13108976185321808,0.8434728384017944,-0.818,5,1627,1,0
Confused? why are these 4.5 stars?,"Ok, lately I realized that the type of headphones you use obviously impacts the quality and enjoyment of your music. I know it's an obvious statement but most of us just make do with the standard set of headphones you get with you iPod or MP3 player. Over the last 2 years I've been searching for cheap, great qulaity and sound headphones. At work I use Sennheiser HD202 - cost $25 at Bestbuy and they are awesome! I've also had Beats, Sony, JVC, but the HD202's are amazing for the price. I needed ear buds for the gym so here I am.I bought the iLuv iEP322RED at the same time I bought these Panosonics. They are both about $6.I listen to a lot of music, from Depeche Mode to AC/DC to Gregorian Chant. I believe my hearing to be good and there's nothing unusual about my ears LOLThe 2 sets of headphones arrived at the same time (took 5 days for shipping). I compared them both, switching them out during the same songs. The iLuvs won hands down! The quality of music is far superior to these Panosonics. The iLuv's are a much better fit (and I tried repositioning the headphones and using the different sizes of buds. The iLuvs are louder with deeper bass. These Panosonics are weak and you have to turn the volume high to get a decent response. I don't know how there are thousands of reviews for these headphones and it shows an average of 4.5 stars? Maybe people just bought these and didn't compare? For $6 they are a nice set and do the job but there are many out there in this price range and for me the iLuvs are far far better.Good Luck!",1,5,positive,0.6629076600074768,0.6629076600074768,0.30331680178642273,0.03377552330493927,0.6291,0,1547,0,1
Didn't work as they should.,"Was given these as a present - wife bought them based on the overall good reviews, but they didnt work at all for me.Now, to be fair, in-ear is not my favorite style of headphones, but that wasn't the issue, they were actually fairly comfortable. The issue is the sound isn't consistent and was terrible. When I could get it to be consistently stay plugged in properly, sound was fairly good. My suspicion is the plug isn't built properly - any slight movement of the wire, my phone, etc. would cause the sound to be bad - only in one ear, volume would go down, remote wouldn't work, etc. Would go in an out, especially if I put my phone in my pocket and was walking, which I often do. I'm pretty sure the plug wasn't staying in the headphone jack properly - maybe it was too small? I thought maybe my phone case was doing something (i.e. too thick and was 'pulling' the cord out), but tried without the case and had the same issue.On another note, couldn't figure out how to use the remote on the wire to change the volume - maybe I was missing how to use it for that, but I'm usually pretty good with this stuff, so pretty sure there wasn't a way to change the volume with it - if this was the case, it is a bad design.I really wanted to like these headphones, but at least the pair I have just don't work like they should. I'm going to try to replace these, as I'm hoping that perhaps I just got a defective pair. Hopeful that a new pair will be better, but not entirely convinced....if a new pair works better, I plan to update this review.",1,6,negative,0.7344939708709717,0.03531503304839134,0.2301909327507019,0.7344939708709717,-0.6992,0,1544,1,0
Failed me for the first time after 3 buys,"Other types of earphones fall right out of my ears, but I always buy this exact pair of earphones because I like how they fit in my ears and it rarely falls out. It'll withstand even me running outside or on the treadmill. I also buy this consistently because of the quality of the product - the only reason I have to buy new ones is because I lose the old ones. There was one pair, however, that started to fall apart, but that's because I'm a clumsy person and I've had that pair for more than 2 years. I've never had a complaint about the audio quality.However, I did have to buy one recently, and the left ear just stopped working out of nowhere. This was less than a week after having it and after not having done anything to damage it. I've never had this issue before with this brand. I don't know if the color affects the quality (maybe different colors are made in different factory lines), but for what it's worth, the first one I bought was the green one, and the next two I bought were blue. I never had issues where I had to position the cord juust right with those three. But the one that suddenly stopped working was the purple one that I just bought.EDIT: It is now the third week I've had this pair of earphones and the right one completely stopped working as well. The phone registers that I have earphones plugged in (works with other earphones), but no sound is coming out of it. I submitted an email to the contact support team and am now awaiting a response.",1,7,positive,0.74220871925354,0.74220871925354,0.22630774974822998,0.03148346021771431,0.7107,7,1480,0,1
Worked Once,"I found this listed as a lightning deal on Amazon. It's sold as a product for children, but I bought it for myself because I have small ear canals. I wasn't expecting much, but I knew I wouldn't need them all that often. When they arrived, they looked like something you'd pull out of a cereal box. But the size was right, and they worked when I checked them. I also like the red color, because when all the other tech equipment is black, I can see the ear buds without a search.Last night I was listening to music online in the bedroom and my husband wanted to go to sleep. I figured I'd listen with the ear buds for another ten minutes before joining him.I was mistaken.When I plug the buds into my tower, the music stops. I unplug them and then the music isn't playing from the speaker system either! The heck? My spouse, who's an IT professional, said it seems like the act of plugging them in puts the music on pause. To get the music to play again, I had to refresh the page and reload my Amazon music. That done, I tried the ear buds again. Same thing happens. This doesn't occur with my other (uncomfortably larger) ear buds, just with these.How many parents are going to scold their children. ""What do you mean they don't work anymore? We just gave them to you! I can't believe you already broke them!""Buying these things was the world's most false economy. Don't you do it.",1,8,positive,0.5681458711624146,0.5681458711624146,0.4051836431026459,0.026670444756746292,0.5415,0,1383,0,1
THEY SWITCHED THE PRODUCT! DO NOT BUY!,"Had a pair of these for years and wanted to get another. They were the best bang for your buck. Got the new pair and immediately knew something was off. They look like a knock off. The constriction is flimsier, not as precise. Keep in mind I've used my last pair heavily for years working construction and other rough jobs. These would never stand a chance. The sound quality was very poor, about what you get from a dollar store pair. No bass. The originals had great bass for an earbud. The mic quality is ok but sometimes shorts out (this is brand new) blasting the ears of the poor person on the other end of the line. The originals had a mic on the right side and the knock offs put it on the left. The idiot who made this trash didn't switch the wiring diagram so the sound is reversed. Try playing a game or watching a movie where an explosion happens on the right and you hear it on the left. If you pay more than $2 for these you got robbed. Now I got to find where I can get the original product because it is good and the reason why there are so many good reviews here.The picture of the ones without a mic look like the real deal. The picture of the ones with the mic are of the knock off. I have not tried the ones without a mic to confirm.Update: sound lost in one ear within 3 months.Edit: I can confirm the ones without mic are the high quality ones. The ones with the mic are a cheap knock off.",1,9,negative,0.5997709035873413,0.16039465367794037,0.23983444273471832,0.5997709035873413,-0.4394,7,1411,1,0
