title,body,rating,review_id,sentiment_label,sentiment_score,positive_score,neutral_score,negative_score,compound_score,topic_id,review_length,is_negative,is_positive
Worked for a day or two,"We bought this specifically because it said you could leave it plugged in and it wouldn't turn off automatically. That part seems to work. We have it in the office and my wife connected her laptop to it. It worked great. She closes her laptop when she's done working, and after an hour or two comes back and the speaker is still on and reconnects to the laptop when you wake it from sleep.Then after a day or two, opening her laptop in the morning and the speaker won't play music from the laptop. The laptop shows a connection to the speaker and the speaker is the default output device. The music is playing but no sound on the speaker. The speaker's light is blue and steady, but kind of pulsing. She disconnects the bluetooth connection and reconnects to the speaker -- nothing. She disables bluetooth on the laptop and re-enables it -- nothing. Finally, I try pulling the charging plug out of the speaker and turning it off -- the blue light goes out. Then it won't turn on when I press or hold the power button again. Finally after multiple tries, the power button turns on the speaker and the blue light begins blinking. Now it connects and plays music.This same exact process occurred the next night after sitting plugged in and on overnight when my wife returned to her laptop in the morning after having successfully played music on the speaker the day before.We specifically wanted a speaker that could just sit, plugged in, and automatically connect to her laptop whenever she wanted to play music. Unfortunately, despite the product's description that it can do this, it seems to have some defect that causes it to ""lock up"" when sitting plugged in and disconnected for long periods of time (like overnight).When I originally opened this package, I now remember that the triangular cardboard packaging for the speaker itself (not the shipping box) was partially opened as if it had been repacked into this packaging, so I'm wondering if this one had been returned and simply sent back out again because it didn't show any signs of problems, which it doesn't initially. It does *appear* to work -- until it's left overnight plugged in and not connected to any bluetooth. Then it locks up. When it happens two nights in a row, it's defective. Sending this one back and will try a different brand.",1,0,positive,0.6456118822097778,0.6456118822097778,0.3369297981262207,0.01745830848813057,0.6282,0,2307,0,1
"After 3 months, won't charge, flimsy USB port is mangled.  Replacement, pretty much the same.","I bought this in July, and was initially very pleased with the sound, either cabled or bluetooth, the portability, and toughness/waterproof characteristics. So, after a few months, scratch the ""toughness"" aspect, because like others have noted, and with SO many other products out there, the USB port is mechanically flimsy and after repeated use fatigues and fails. Why Cambridge Soundworks, like so many other manufacturers, insist on employing USB when all it's used for is power, is beyond me. Great sound and battery life for the price, but if it's only going to last 3 months I would expect Cambridge Soundworks to take some heat for the number of these things that will be littering the landfills in short order.EDIT: From 1 Star, to 3. Based entirely on the response and support from Cambridge Soundworks. (see the comments to this review). Cambridge Soundworks acted quickly to this issue, and offered a replacement unit. I received it less than a week ago. 3-Stars from 1 is a good bump. But the replacement unit has the same somewhat flimsy USB port for charging the unit, so I'm withholding a better rating until I see how this one holds up. I also asked about disposal of the original but haven't rec'd. an answer to that question; if these thing are basically disposable that would be horrific, since I'm pretty sure that whatever these are made of has no business being in a landfill or the oceans.Second EDIT:The replacement that Cambridge Soundworks sent worked as well as the first, and the ONLY reason it's still working is because I RARELY disconnect the USB cable (not very convenient for a ""portable"" device, is it?) because of the ridiculously flimsy and easily wrecked micro USB connection to the speaker. The one on the replacement is getting very close to being useless, and I have to be VERY careful when plugging it in in order for the cable connector to seat and not bend the receiving port connection on the speaker. The bottom line is this thing just won't last. Even normal but careful use of the device will result in it being wrecked in far too short a use period. Back to one star. Sorry, Cambridge Soundworks.",1,1,positive,0.7010627388954163,0.7010627388954163,0.23148968815803528,0.06744758039712906,0.6336,5,2145,0,1
"Good sound for a small unit, but some VERY annoying design flaws and a FATAL security flaw! DO NOT BUY!","Good sound for a such a small unit, certainly much better than for example laptop speakers. That said, while it came with (short) cables, there was no charger so you need to supply your own (minimum 1A.) It also includes a speakerphone feature - I almost wish it didn't! The problem is that when your phone pairs, by default it goes into speakerphone mode, rings over the speaker, etc. As I use this at my office desk, that's HIGHLY undesirable, and there is no way to disable this feature on the device. Worse, the ringer tones are LOUD even when the phone and device is set to a low volume.As seen in the picture, the controls are on the rubber endcap. This is good and bad - the bad is that when the device is sitting as shown in the product picture, you need two hands to press a button or the unit just slides on the desk. Because of this, I run it on it's side so the controls are on the top. Also, as shown in the picture, the buttons are just raised printing - black on black. You can't see them unless the light is Just Right. The symbols should be painted white or something. The power button is on the edge right next to the port cover flap and is hard to press (two handed operation no matter what orientation.) The controls are: Power, Bluetooth pairing, Volume up and down, Play/Pause. There is no Next or Back which would be VERY useful to have (other devices have these.)The stars docked are due to the missing charger, the poor button placement / usage and visibility, and undesirable speakerphone mode that can NOT be disabled.Edit: I had to knock ANOTHER star off as this thing is ALWAYS in Bluetooth pairing mode meaning that ANYONE can pair with this device even if you don't want them to and there is NOTHING you can do to stop it. Had someone else somewhere in the building pair to it and start blasting crap. ALSO, since it does have a microphone, that means that anyone can SPY ON YOU without your knowledge!This product is going in the trash. VERY VERY disappointed! For SHAME Cambridge Soundworks!",1,2,positive,0.34797006845474243,0.34797006845474243,0.32977810502052307,0.3222517669200897,0.0257,0,2024,0,1
Review of a few top sellers,"So I bought this based on reviews, using iTunes on an iOs device, in all bought the Cambridge SoundWorks Oontz, Anker Soundcore, Anker Portable Bluetooth Speaker, and Klipsch Gig, to see which really had the best sound. Intend to keep the best of the 4. I already own the Bose Soundlink Mini II, but looking for another to add to house. Received everything as expected, carefully opened each and started to get them all powered up. I rate them from best to worst, based on sound and ease of use. I listen to music 75% of my day.1. Klipsch GIG- Decent design, excellent sound, easy power up and connections over bluetooth, don't care for the Knob on top, and the power switch being on the end of unit, also the charge port is there, so when charging the stand or belt seems in the way, but is manageable. Beats out the others as far as sound quality, provides great room filling sound, and when more than 10 feet away still sounds great.2. Anker Soundcore- Excellent design, sharp looking, soft rubber coating, easy to power up, easily connects, nice soft buttons on top to control source. I have to say this is my favorite design of the 4, sound quality is great, but if the speaker is not facing you directly you can't hear everything. Would be great for an office, the sound is still 3 times better than both of the last units. Just don't care for the one directional sound. If on a budget would be a great speaker.3. Anker Portable Bluetooth- Nice design, small square, don't like that sound directed straight up, powers up quick, connects quick, on/off switch instead of soft button like others, but easy to use. Sound definitely better than the OontZ, but not by much, to me sounds like my phone in a coke can.4. OontZ Angle 3- decent design, super light, powers up quick and connects easily, but sound is poor, and empty, and cheap, compared to others",1,3,positive,0.7219346761703491,0.7219346761703491,0.26571568846702576,0.012349684722721577,0.7096,0,1857,0,1
"Nearly perfect, but falls short with accessory cables","****Update: Sadly the speaker stopped working with occasional use. I'd spend more money on a different one. Live and learn. ***Just received the Oontz Angle 3 today, so I'll come back and leave a follow up in a few months but my first impression is as follows.Packaging is typical plain box with not too much extra junk thrown in, thankfully.Inside the box is the speaker wrapped in plastic3.5mm Audio cableUSB charging cableThe speaker itself has a quality feel to its construction. The buttons are well marked and work easily. There is a plastic cover over the charging and audio jack that fits snugly enough no water would enter with any normal splash.The speaker is simple to connect with blue tooth and worked seamlessly. The sound is really impressive for such a small speaker. Nice tones and range. It gets plenty loud to fill a room and is clear as can be.The two cons are the charger and more importantly the audio cable. Are you kidding me. It's like 22&#34; long. Not enough to hook up to a desktop pc and place it anywhere but on top of the pc itself. If it's on top of your desk that's fine, but if it sits under your desk it will not work. What an accessory design flaw! So, now I'll have to spend another 5 bucks to get a reasonably length cable. I'd have preferred paying a little more initially and gotten a more appropriate length cable. The charger is only 10&#34; in length so it has to sit right next to your charger or pc.Other than that I'm thrilled with the product. I'd have given it the full 5 if not for the short cables. If you don't care about audio cable length I highly recommend it, if you care about cable length be sure to order a cable with your speaker.",1,4,negative,0.4780179560184479,0.05809754505753517,0.4638844430446625,0.4780179560184479,-0.4199,1,1689,1,0
JUNK X2!!!’ straight out of the box.-UPDATED11/19..UPDATED AGAIN! 11/21,"1 star=Out of the box it was static-y, especially when plugged in to power.I have a contact request to the seller, I’m assuming this will be handled and I will be editing this review. Or let’s hope!UPDATE——-3 starI was immediately contacted back by the customer service and I have returned the first unit and the other unit replacing this is on its way. I hope it sounds as good as everybody says, their customer service is an example to hold up to all other retailers.It is unbelievably awesome.I will update completely when the new item has been received.They also offer you 30% off to buy another one when you return the first.#2 UPDATE- 1 starReplacement product is WAY WORSE than original static issue. This unit has MORE static and it randomly shuts off my &quot;Dot&quot; and makes the unit restart in the middle of a song. Piece of crap.This is my summation: they tell you the units are damaged in &quot;shipping&quot; which is not true, but oit sounds believable.. they are cheap crappy units and this is how they handle all of the returns...acting as if this is a rare occurrence. It is a business decision, they really don't care about the quality of the product they are shipping...its all a numbers game, sell a ton, and eat the crappy ones that come back..30% discount does not mean crap if it is crap to start.I am putting a stop on my am ex for both units I ordered, if they want them, they can come and get them. Why should I use my labor for their crap?they need to rename their company to Cambridge SoundDoesntWorks!No wonder they have great customer service...they have to to stay alive. it is all dependent on selling more crap.",1,5,neutral,0.5720700621604919,0.19252346456050873,0.5720700621604919,0.23540648818016052,-0.0429,3,1649,0,0
Buyer Beware - You Get What You Pay For!,"I don't buy a lot as a prime member. Unfortunately what I thought was going to be a great product for listening to music before going to bed, wasn't. Perhaps the adage: &#34;you get what you pay for&#34; is true! I even bought the 3 yr product warranty. Hopefully the following message I sent directly to Cambridge SoundWorks will help me and then I'll be able to write a better product review than the following:I was pleasantly surprised how nice the Oontz angle3 sounded. However, I have a serious problem with this purchase and want to return it for credit, or at least a new one that actually works! I listened to music for a couple of hours at a time, for less than a dozen times since I bought it less than 90 days ago. When it stopped working yesterday I used the cell phone type power plug and it would play for just a few minutes then shut-off. I thought something was wrong with our Bluetooth, but other devices work fine. Then I plugged an audio cable into my Galaxy Note 4 direct to the OontZ Angle 3 (like I use to do when listening to my transistor radio as a kid) and absolutely nothing happens. When checking Amazon about returning product, I didn't see how I could do so. I did buy the 3 yr product warranty. Can we use that to get me a new OontZ that actually works? If not, guess I'll have to tell my story on social media about my experience with your product and find someone else to work with!How come the extra square trade product warranty for 3 yrs doesn't cover my purchase? What good is it buying an extra warranty if amazon won't honor it? My speaker didn't last a month! Buyer beware!",1,6,negative,0.5702239871025085,0.09953112155199051,0.3302449584007263,0.5702239871025085,-0.4707,5,1614,1,0
"If you purchase this, be sure to buy an additional warranty.","I purchased this item in February 2017 and less than one year later, it will not charge. The manufacturer states on their website: Who is not covered:Those who have either purchased or received an OontZ product that was sold as new or refurbished from an unauthorized retailer including but not limited to websites such as Ebay.com, actions sites or sales by surplus or bulk resellers are not covered by the limited product warranty. For more information regarding the limitations on our warranty, please refer to the section “What is not covered” down below. In addition, the warranty is for 90 days only and here is more of What is not covered from their website:This warranty is limited and not applicable to damages, defects, malfunction or failure to meet performance specifications resulting from:1.Normal wear and tear2.Misuse of product, neglect, abuse, improper handling or accident3.Product service, testing, adjustment, installment, maintenance, and alteration including software changes or hardware changes made by someone other than SoundWorks, Inc.4.Non-compliance with instructions given by SoundWorks, Inc. including, but not limited to, improper use of an electric source or other operator error5.Damage or loss during shipment or transit6.External causes such as floods, storms, fires, earthquakes, sunlight exposure, acts of God, weather, moisture, sand, dirt, electrical surges, battery leakage, vibration, corrosive environments or damage caused by the connection to other productsIn conclusion, there is NO WARRANTY; at least that is how I understand it.",1,7,neutral,0.5164865255355835,0.03291589394211769,0.5164865255355835,0.4505975842475891,-0.4177,3,1576,0,0
No better than your phone's speakers,"This Cambridge Oontz angle 3 is simply an awful sounding bluetooth speaker. The bottom line is that regardless of price, this speaker sounds terrible and isn't even really an upgrade from most built in phone speakers. The sound is tinny, screechy, with no audible bass or midbass to speak of. Literally hard to stand listening to for more than a few minutes, the sound is that bad. It vibrates on the surface you put it on, but unless you're six inches away, you won't hear a lick of bass out of this thing. After getting suckered into buying this cheapo speaker, I don't understand why people think this sounds good and worse yet, why they think for $25 you'll get a speaker worth listening to. You simply will not, and I fell victim to this as well. I returned this speaker after a couple of weeks of my ears suffering. Life is too short to listen to crappy speakers like this. Do yourself, your ears, and those around you a favor and spend more to get a solid sounding speaker. Personally, I think around $100 is the minimum I'll spend to get a good sounding bluetooth speaker, anything less and you'll mostly get junk or refurbed units. Some good sounding bluetooth speakers actually worth listening to for around $100 include: Klipsch KMC1, Klipsch Gig, Klipsch Groove, Bose Soundlink Color, JBL Charge. JBL UE roll, JBL clip. Many of these speakers are open box or refurb for under $100, but still blow the pants off this Oontz speaker. The only speaker I have found listenable under $30 is the Philips Shoqbox mini, and even that is barely tollerable to me, but much better than this Cambridge speaker.",1,8,negative,0.9328375458717346,0.010081877931952477,0.05708055943250656,0.9328375458717346,-0.9228,2,1609,1,0
"wow, I wasn't expecting this! To well, this sucks.","I bought this on a whim really because I had been looking for a Bluetooth speaker and it was a lightening deal, so I sprung on it. I got to say I'm VERY impressed with this little gadget. The design of this is great but the bass does vary depending what surface it's on so keep that in mind when you do play music with lots of bass. It sounds fantastic on my kitchen counter but once I move it to a more dense surface the bass isn't quite as strong but it still sounds great. Overall, like I said, i'm very impressed with the sound quality of this little triangular box! I prefer it over the speakers on my tv and it'll be a great addition to use when I skype with my husband overseas, that way the kids will be able to hear him better and I can hear his voice over their excitement. We have a decent sized house and it allows the sound to travel down into the hallway so the range is fantasic. If you're looking for a good speaker i'd recommend this one, especially if you're a newbie at these like I am, you'll be very surprised with the sound quality. I've only had this for a few days so if things change i'll come back with an update but as of now, very happy with the purchase and design of this product.UPDATE 4/30/16 - this speaker has now died on me. I got it in December, wrote the top review and now changed it. Its a great speaker, when it works, but like others have mentioned, it crapped out on me. No damage to it, charge won't hold and constantly disconnect even after its been charged. Will no longer recommend this one.",1,9,positive,0.9740769863128662,0.9740769863128662,0.020585281774401665,0.005337654147297144,0.9687,6,1537,0,1
