title,body,rating,review_id
"So far so good....but they didn't last!!, new updated version are not that good!!","Update 8/11/21,Well I have had this new set for about 2 weeks and the updated earbud version is a bit smaller, battery do last way longer and touch button is not like the ones I had before that were clicker, after using them I can say that the Bluetooth connection is very clunky the one before this one will connect to any device available w/o any effort in my part this new one is a pain in freaking butt, I don't use them on my phones constantly because I also use them with my PC and every single time I switch from my PC to my phone I have paired the buds to my phone every single time which is really annoying because it won't get saved on my phone i have no idea why after pairing it it won't stay saved and the same issue when trying to connect back to my PC, I have placed them on the charging dock and removed them so it will connect to my PC I really liked the old system where the connection was more effective and effortless, so with this ones if I don't have the dock closer to my PC i won't be able to connect them because is near impossible to set them to discovery mode which it dosent work on mines at least, you suppost to tap twice on the power button to set it to discovery mode yeah that dosent work at all, so after this thing die which i know it will at some point ill try another brand i'm done with this brand, lower my rating again to 1 star.Update 7/29/21,after my last update I was able to contact the seller and he was able to verify that my purchase was within the warranty coverage time so they send me a new pair I was not expecting anything really bc weeks before after one of my reviews they contacted me via email saying that they will send a new set if I update my review but they never did so I was skeptical when I was told this time around that a new set was on the way, but I have to say they do stand behind there product and are true to their word bc 1 week 1/2 later I got my new set, which is an updated version of what I bought originally the same model but one can tell the desing is a bit different they look bit smaller the performance still the same which I never had any issues with it just the battery life but after all, I have experience with this product I can yet say if it would be a reliable product or not maybe this updated version will last well is yet to be seem will update if i run into any other issue, but for now i can say that they do stand behind their product and I'm happy how they handle my issue hence why i updated this review to 4 stars.Update 7/13/21,the right earbud stop working, it connects and 5 sec later it disconnects and I can't turn back on and it won't charge either, I place in the dock and the charging lights turn on for like 20 sec and it turns off I clean the connectors with alcohol just in case they were dirty and still the same result nothing is happening, drop the overall rating to 1 star bc this thing didn't even last a full year.Update: 6/22/21,the battery life has stayed the same and it hasn't dropped the duration of the 4hr give it or take a few minutes here and there so after 10 months from my original review they still perform well I won't recommend it because I haven't tried any other brand so I can make an educated assessment in comparison to any other earbud in the market.I bought this back on 8/11/20 since I have used them daily and I don't have any complaints other than the battery life is not now what it used to be, when I first got them they will last somewhere in the range of 5 1/2 hours now the max range is 4 hrs so they have drop-down significantly rather quick I was expecting that 6 months to 1 year down the road not so fast, I usually used them at work to play audio from videos or music w/o disturbing anyone else and also I don't use both at the same time just one at the time so on 8hr works good for now I will update if the battery life drops more under the 4 hr I get now. But besides that, the sound is pretty decent for the price nice soft bass and deep sound, connection wise is good sometimes it struggles but a quick turn off/on, and it sync quite fast, so battery life is my only concern.",1,0
Buds cut out and loose connection when using during active sports,"Upd.: After few weeks of usage I have some updates. First of all, whatever is said in the original review is still true provided you're sitting behind your desk and do not move around. But after I wrote the original review I took it our for a run. Surprisingly, as soon as I started actively moving, it started cutting out on me every 30-40 seconds. Of course, it is impossible to use them like that. I took them off and finished my run without them. Then I did initial round of troubleshooting, resetting, reconnecting etc. and the second day I took it out but had another buds with me (the kind where two buds are connected with a wire). 15 minutes into my run I stopped and switched to those back ups.Then I returned these buds and god replacement sent out. Tech support said that it was because ""interference with other electronic devices"". Yeah, right. I'm sitting in the office with tens of electronic devices around me, and they work just fine, but as soon as I get out onto a forest trail, it suddenly sees ""electronic interference""?So, I was told it might have been a bad device and I agreed to get a replacement.Got it 5 days ago and was taking out those buds almost every day. Everything was more or less OK (3-5 cut outs in 30min run) but today it started cutting out every 30-40 seconds again. I did some more experimenting and realized the following: Your own body shields these buds from connected device. If you put your connected device somewhere on your lower back on the left side - it completely blocks the signal, as there is lot of flesh and bones between the right bud and your connected device.If you connect your buds to your smartwatch, as I do, and wear it on your left wrist, then as you run or walk, you'll be moving your arm in and out of area of good connection, causing cut outs. Even if you have some long sleeve closing - it will reduce signal a lot and your buds will start cutting out. And don't blame the connected devices - I tested that with another set of buds, it is the intrinsic problem with this specific model of buds.As such, these buds are only good in office, where you keep your connected device close to your right bud and do not actively move around. But in the office you can use something more comfortable and with higher sound quality. The whole point of these buds is active sports, they are waterproof and light, so you can take them out for runs, hikes, etc. Unfortunately, they fail miserably in their intended use.Original review:I was surprised how comfortable these are and how good the sounds quality is.I have more expensive (around $180) buds from a well known brand name, and I was quite disappointed with them. The problems were: impossible to get a good fit, buds were falling out all the time, material was causing my ears to itch like crazy, very poor sound quality which depended on how they fit, absent bass and noticable lag.These buds that are almost three times cheaper, have none of those problems:Great fit, stay in the earsSolid bass, no squeaking treblesAlmost undetectable lag, less than 100ms.Great passive noise cancelling, based on the tiny holes on the buds I suspect that this thing might have some kind of active noise cancelling, but haven't read anything about it and haven't tested it yet.Another nice touch: wireless charger. I just need to put it on my charging plate, no plug/unplug hassle.Have yet to see what the battery life is and if it makes my ears itch after long time use.",1,1
Worked (emphasis on the -ed part of that) pretty well...,"Very sleek, very user friendly. Sound quality is pretty good, the case is sturdy, and although simple in design, has a charge indicator inside (in the form of 4 leds). I mainly bought these for the waterproofing so I could use them in the shower. Will update this review once I try them out there. But so far so good!Update: Well they work in the shower, but I'm not sure they work very well outside of it. Not long after I had bought them (I'd say it started after the first 2 weeks) I started having connection issues. When listening to music or podcasts, one of the earbuds would randomly shut off for a few seconds, then it would happen to the other bud in succession. This would happen a few times before the buds would ""calm down"" and act as they should. At first, I thought this was just a quirk of theirs, and I wasn't too bothered by it. But now it happens every time I try to use the earbuds, so I basically have to wait a few minutes before they work properly. Not great.So that's issue #1, but issue #2 is the big one, and why I dropped the rating down so drastically. Once again, only after a couple weeks of using these, they started having more issues. This time it was the fact that one of the buds just wouldn't charge while in the case. Now I'm a man who likes to listen to podcasts to help me fall asleep, so I would leave the earbuds in over night, which of course meant that the buds would run out of battery often, which is fine. But now nearly every morning when I put them in the case, the red indicater light shows up for both, so I think ""good they must be charging"" so then I go about my day not worrying about them. This now often ends in disappointment, because although the right ear bud charges perfectly fine, the left one does not. I'll use it for about 10 minutes before the annoying robotic voice of a probably enslaved woman kept in the dark reaches of whatever horror of a factory these are made in screams in (just) my left ear telling me that the left bud has a ""low battery, please charge."" So then I have to replace the buds into the case and fidget and mess with the left bud until the red light stays on for longer than a minute, or otherwise, I'll just be back to one ear listening.I realize that was quite the read, but I'm just bummed out by these ear buds. I really like how well they work in the shower (although if they do get touched by enough hot water, the volume will start changing, I'm guessing the buds think the water is my finger interacting with them), but I've just experienced too many nights where I just want to relax and fall asleep with the buds in, only to be yelled at by the disembodied voice of some poor factory worker. Also, I never got my free warranty, which I was supposed to get if I left a 5 star review (which I initially did) so I can't even get them replaced. Not that I'd want to anyways, cause bottom line, they suck. I know people say ""you get what you pay for"" but I guess I still think the $40 I paid for them is a substantial amount for what is very likely a cheap tech to manufacture. Maybe I'll just have to suck it up and buy a more expensive set. Insert shrug emoji.",1,2
These are not good for a variety of reasons,"I bought these headphones because I didn't have much time to browse and saw them listed as ""Amazon's Choice"". I figured they must be pretty good at a price point of $39.99 with a blessing from Amazon. I was replacing a pair that I had lost which I loved and were significantly cheaper. I figured the extra few bucks would be worth it for a better product. When I got them, I was sorely disappointed. Here's why:The recharging case - Mine is good for about a day whether I use the headphones or not. After that, the case is basically dead. It isn't capable of restoring a charge on the headphones even once. Good headphones will have a case with a robust battery that holds a charge for a long time when not in use and is capable of recharging the headphones multiple times.The in-ear controls - The button on these headphones is a tactile switch, which means it's a button that you need to press until it clicks. When you are wearing the headphones and try to push the button, it's very uncomfortable pressing hard into your ear. Good headphones will have a sensor instead of a button. A very light tap on the sensor will get you a response.Control architecture - The controls don't make sense. One click pauses the music but two clicks redials the last number you called. This is dumb. Headphone users are generally not trying to control their phone calls with the in-ear controls. They are typically trying to control their music. Pause/answer incoming call, skip ahead, skip back, volume, that's about all you need.Noise cancelling - These don't cancel noise, they just put an object into your ear. To me, noise cancelling means there is active technology working to dampen the ambient noises. These have the same noise cancelling technology as a carrot. If you shove it in your ear, things aren't as loud. This is a totally false claim.Sound quality - Not great as the volume increases. I don't usually listen to anything very loudly in my headphones, but even at responsibly loud levels, the sound starts falling apart. Too much attempt at bass distorts the music to a point that makes it virtually un-listenable.Charging - The case charges by a micro-USB connection. This is a relatively small complaint, but USB-C is where everything is going, so new tech should really come with USB-C.Overall, I am really irritated that these headphones represent the most expensive ones I have purchased while simultaniously being the worst performing headphones I've tried. I'm not a music snob and I'm not someone who uses them constantly so the $50 or less range feels right to me. I've owned 3 sets of wireless earbuds and the other two sets were outstanding and cost $25 or less.At the end of the day, there is a huge market out there full of really good earbuds. Don't buy into the idea that ""Amazon's Choice"" means much in terms of quality or value and don't get tricked into believing that you'll get something better if you pay more. These earbuds are awful.",1,3
"Underwhelming sound, horrible quality assurance, fake reviews?","I got this item after seeing there’s 100k positive reviews so I thought they must be doing something right and not all of the reviews are bought!Well the first thing I felt when I put these on was “wow the sound quality is so underwhelming!”. There’s virtually no Bass coming through and everything sounds really dull. Probably the last time I felt so underwhelmed by sound quality was when I used the headphones that were provided on an airplane.But if you want to use these for listening to podcasts or taking calls, I see absolutely no problem with them. The mic is strong and you can walk far without having to carry your phone around in your place. Weirdly though, if I put the phone in my pocket, the sound keeps going in and out as I walk, specially if I put my hand in pocket!Another thing is that these earbuds sometimes just randomly turn on while in the box and pair with your phone and you wonder why you can’t hear anything suddenly until you realize headphones were connected!I also don’t know what the function of the 4 blue LED lights in the charging case is but only one of them turns on for me under any condition (charging the case, charging partial drained earbuds, charging fully drained earbuds) so I assume there’s manufacturing defect there as well.By the way, I did try to use them in the shower since they are advertised as waterproof and nothing happened to them so that’s good but showering with earbuds is not for me I guess, specially with such underwhelming sound quality 😁Overall, I think my 4 yr old iphone SE speakers sound better than these earbuds which is contrary to what I read in some reviews but at this price point, I would’ve been very surprised to have nice sound quality! But I expected from them to not turn on randomly or get cut-off while my phone is in my pocket. I’ve ordered a replacement and will update the review if these problems don’t persist.UPDATE: I ordered a replacement pair because the LEDs on my original pair did not work. The LEDs on the new pair works and now what I see is that the earbuds turn on randomly while in the box and remain on, essentially draining their batteries until you notice and turn them off again. Sometimes they automatically pair with your phone in the middle of a phone call leaving you wondering why you cannot hear anything suddenly until you realize your phone was paired with the earbuds randomly.I think these earbuds are just absolutely horrible with the random issues I've noticed between the original purchase and the replacement I've received and I absolutely do not recommend them to anybody and unless I've been extremely unlucky with the two pairs I've had my hands on, majority of these positive reviews are probably fake and the seller should be applauded for the number of positive reviews they've managed to round up.",1,4
An absolutely catastrophe in a box,"For those who don't want to read the full in depth review I am about to drop on these headphones, I'll keep it short. These suck. Look for another set, cuz these do not live up to their claims.Man where to start. The sound quality is awful. You'd have better sound quality with sticks shoved in your ears. Its so monotone and dull. The touch controls were not very responsive whatsoever, then they stopped responding completely just 2 weeks into the purchase period. Tonight as I write up this review, they went on strike, and completely went a-wall. Shutting themselves on and off repeatedly, maxing the volume out, then turning it back down. Disconnecting, then reconnecting. Total electrical failure. The battery life is not great either. I think at best when I first opened the box and charged them up, I used them for 2 to 3 hours before needing to recharge them, that is until the case stopped recognizing the headphones in their little pods, and would only charge them if jiggled into the right spot. Bump the case, the headphones would turn on, and now you can't hear the person on the phone anymore. Fantastic. They also advertise them as being waterproof. IXP8, meaning they can be submerged about 1 meter. Thats not much, but you can drop them in your cup or in a pool or take a shower with them and they should be perfectly fine. Yeah, no. I did use these in the shower. They did get wet, and would reduce the volume levels to a whisper quiet level. I let them sit in silica packets (the little packages you get with most things that state ""do not eat"") to pull the water and moisture out of them, but they were still never the same. Now credit where credit is due. They do provide plenty of ear buds to make sure you can get them to fit your ears properly, but unfortunately as much as I tried to find a pair that would fit comfortably and not fall out, they would either just fall out after a short period of time, or they would just be uncomfortable and painful to have in my ears. I mean every single little thing about these headphones is a total joke. I am so excited to return these pieces of junk, and to find something else that is better, and can at least live up to its name.To sum it up, these have terrible sound quality, they are not waterproof, the touch controls are a laughing stock, they are either to tight or too loose, the battery life is below average, and with time they might just develop a mind of thier own and have a complete electrical breakdown. Buy something else.",1,5
Update - Warranty Coverage Conditioned on Review,"UPDATE - I originally liked these, and when the button on one bud stopped working, Tozo was quick to offer a whole replacement pair. They asked if I would please leave a review and asked that I notify them when it’s done. I said sure. I liked how amenable that Tozo was to making this right, so I was happy to give them a positive review, but it took me a while to get around to it. In the meantime, a few weeks passed. I assumed that it was due to international shipping and didn’t think anything would of it. When I finally left the review and notified Tozo that I had reviewed them like they asked, (still assuming the order had not arrived because of international shipping), they said, ok, we’ll ship your item now (which they did, and it arrived a few days later). I was annoyed that they didn’t tell me they were waiting on the review before they shipped, and went to go update my review to warn buyers needing warranty replacements not to promise a review or insist on shipping before you leave one, and that’s when I saw that Amazon had temporarily suspended reviews for Tozo because they were improperly conditioning warranty work on positive reviews. Today is the first day that I’ve checked back and been able to review them. I had kinda hoped Amazon would have kicked them off for deceptive practices. Not only are they breaching contracts with existing customers by adding improper conditions on warranty work, but, as a result of this practice, the reviews for this item are improperly inflated, which dupes future customers. I’ll never buy from them again. Shame on Amazon for knowingly allowing merchants with such dishonest practices back into their marketplace.Love these! I've had mine several months. I paired then separately so I can listen to one at a time (to keep an ear on my kiddos while I listen to my audiobooks). The battery on each lasts all day with intermittent use (but still on and connected to my phone all day). I get about 4.5 hours of continuous use.My left earbud power button stopped working and the customer service was amazing. I messaged the manufacturer about the problem, and they immediately sent me a replacement without making me jump through a bunch of hoops. Very impressed.",1,6
Big disappointment,"I have been looking for wireless bluetooth ear buds for some time now. The ones with a neck thing with the wires going to the earpiece has been a bother as I constantly snag them in some way which eventually results in them being non-working on one side or the other. So, I finally took the plunge and bought these based on a glowing review in an article from airwatchdog. Super disappointment especially for the price.Let's start with the physical product. This set does not come with additional rubber ear pieces so I cannot change to the size I need for my ears. They became painful to wear in no time. They are a bit bulky and I assume since there was no ear piece options, that would explain why it was hard to keep them in my ears.Next, the sound quality was not good. This could be due to not having the correct ear piece size. However when I pressed them into my ears to hear what I expected to be great sound, this was not the case. The sound was rather weak on the bass. They sounded really cheap. I do admit when someone was talking to me I could not hear them talking even though they weren't fitting well.Connectivity is a huge issue. They are easy to pair with devices. That's the only good thing I can say. There are a couple of problems to mention here. One is staying connected to a device after you've paired them with multiple devices. For me this was my pc and my iPhone. I would be listening to my phone and as soon as I turned on my pc or walked by it, the headphones would jump to the pc and dump my phone. The other problem is using only one earpiece. When I need to wear only one, I finally figured out that I had to take them both out of the charging storage box at the same time, let them pair to each other, then sometimes I had to lay the one I didn't want on the desk because if I put it back in the box the one in my ear would beep at me. Sometimes it wouldn't.So overall, I am very unhappy and will be returning them. I tried using them for a couple of days and it isn't worth the hassle. I guess I will keep with the older wired bluetooth style because they can stay connected to the right device, provide great sound, last longer from a charge, and are comfortable.",1,7
Trendy with good sound quality -read update,"The casing looks great and the sound is pretty good too. I'm not used to earbuds without any wires yet but these seem like a good start. The only problem I've had so far is the right one keeps falling out of my ear. Two days in and I've already had a close call with the earbud falling out as a walked over a storm drain. I wouldn't trust running with them in. In the package there is a variety of sizes of rubber pieces to choose from but even with me using the XL piece they still don't fit tightly. I recognize my ear canal might just be wide but it's something to take note of.Also, the earpieces are very touch sensitive with no actual buttons. So, when they fall out, I usually pause or increase the volume by accident trying to pick it up again. This is probably a universal problem that I'm not used to yet.UPDATE:It's been less than a year (10 months ish) and they are slowly dying out on me. The charging port won't connect at all to the earbuds. Neither one of them and it's only a matter of time before they lose charge. Furthermore, because I am accustomed to just popping them back in the holder to turn them off, I didn't realize the problem till they were put back into my bag and my phone was still connected to the earbuds. I disconnected the ear buds from my phone and turned them off manually by holding down both buds. One time I wasn't even able to do that because if you hold one earbud down it just increases the volume or decreases it so because they weren't communicating with each other they just simultaneously changing the volume. At this point they still work, and the sound quality is the same, but I am slowly putting these buds out to pasture. It's like watching your favorite pet suffering in pain without having the resources or cure to save them. Heartbreaking. I will be in the market for new earbuds sooner than anticipated for what I had expected. I love the look of them nonetheless but unless you want something to just last a yearish, it's best to keep looking.Side note, I am still communicating with health professionals about this, but they may have contributed to some severe migraines during the time period that the Bluetooth connectivity was going wonky.",1,8
Very disappointed.,"Based on the other reviews for these headphones I had high hopes, the price is great, and they seemed like a clear choice. Ive only ever owned the Bluetooth headphones that are connected to each other, and never had a problem with them. I decided to give these a try after I lost my last pair. But after the first day, I disliked them, after a week, I’ve come to loathe them and have rebought the set I’ve previously owned.1. Touch response on a headphone you have to constantly re-adjust while you’re working out is infuriating. As I’m moving and working out, my jaw is inevitably moving to breathe, and thus moves my ears, so I have to re-adjust headphones from time to time. Not a problem with any other headphone. With these though, I’m constantly pausing music, turning up or down volume to ridiculous levels. I’d rather just stomp them into the ground after a few times of this.2. The Bluetooth connectivity is flaky at best. Again, I’m moving around at the gym, doing my thing. I move in a different way, breathe more heavily, or someone just walks by me, music cuts in and out from one ear to the other, they both stop, then start again. Uh, what? Never had this problem with Bluetooth headphones that are connected to each other. Extremely annoying.3. The last straw was today, just trying to charge them. As I said previously, the touch “buttons” for these are just annoying. I try and turn them off, it just turns the volume up til I’m going deaf. So I say “screw it. I’ll just charge them before I go to the gym later.” That time rolls around, I put them in the charger for an hour til I’m ready to go. Come back to the charger to see only a red light (charging light) for the right ear, and I think “ok, the left must be fully charged already.” As I’m walking to the door for the gym, not 10 minutes later I get the “battery low” voice in the left ear...and yes I made sure it was fully connected to charge. For whatever reason, the connection for charging is already flawed.I was going to save these as an emergency pair when i have no other options. After this debacle today, they’re going in the trash.",1,9
